	Metabolite ID	Feature Importance	Metabolite name
0	3933	0.032951739618406285	w/o MS2:443 - Caproic acid
1	6325	0.01340966234183421	Unknown
2	7937	0.05311292584505083	w/o MS2:4,5-dihydroxy-3-propylcyclopent-2-en-1-one
3	9906	0.021134267159111878	w/o MS2:herniarin
4	9955	0.0294341915394547	Unknown
5	9956	0.02778915586369003	Unknown
6	9957	0.03982393836550637	Unknown
7	10837	0.010098876863412307	Unknown
8	11265	0.010102381228818008	Unknown
9	11398	0.014876191829100417	DEET
10	12014	0.03209141012697838	w/o MS2:3,7-dimethyl-6-octenyl acetate
11	13461	0.014420343666270152	Texanol
12	13462	0.011922398589065257	Texanol
13	13857	0.010026112891152046	Diethyl phthalate
14	13867	0.015229764312919964	w/o MS2:Unknown (carbon number 13);PlaSMA ID-848
15	16120	0.014600026792583	Unknown
16	17281	0.012	w/o MS2:NCGC00384680-01_C17H24O4_Bicyclo[7.2.0]undec-4-en-3-one, 11-[(acetyloxy)methyl]-4-(hydroxymethyl)-11-methyl-8-methylene-, (1R,4Z,9S)-
17	24102	0.013903118158098925	w/o MS2:Putative Chenodeoxycholic acid Phenylalanine conjugate
18	26586	0.016482816955380675	Unknown
