Feature Importance	Metabolite ID	Structure rank 1	Databases
#!{Type}N	T	T	T
0.02	997	Piperidine	HMDB=HMDB0034301,ChEBI=CHEBI:18049;CHEBI:589779,YMDB=YMDB01338,FooDB=FDB012644,STOFF=STOFF_7273,Urine=HMDB0034301,Saliva=HMDB0034301,Feces=HMDB0034301,PubChem=637969;8082,PlantCyc=PIPERIDINE,UNPD=UNPD17844,BLEXP=BLEXPDB00000008082;BLEXPDB00000637969
0.02	1191	Butyric acid	HMDB=HMDB0000039,KNApSAcK=C00001180,ChEBI=CHEBI:17968;CHEBI:30772,DrugBank=DB03568,SMPDB=PW_C000028,YMDB=YMDB01392,T3DB=T3D4592,FooDB=FDB012062;FDB031031,STOFF=STOFF_5399,BMDB=BMDB00039,LipidMAPS=LMFA01010004,Urine=HMDB0000039,Saliva=HMDB0000039,Feces=HMDB0000039,ECMDB=ECMDB00039,CSF=HMDB0000039,Serum=HMDB0000039,PubChem=104775;264,PlantCyc=BUTYRIC_ACID,UNPD=UNPD136414,BLEXP=BLEXPDB00000000264
0.02	2280	dimethyldithiocarbamic acid	ChEBI=CHEBI:83061;CHEBI:84293,STOFF=STOFF_8710,BLEXP=BLEXPDB00000006599
0.02	2413	buta-1,2,3-triene-1,4-dione	BLEXP=BLEXPDB00015039474
0.02	3576	1-hydroxy-2,2-dimethyl-3H-pyrrole	BLEXP=BLEXPDB00046878261
0.02	3937	2-Methylpropyl acetate	HMDB=HMDB0031246,KNApSAcK=C00050471,ChEBI=CHEBI:50569,YMDB=YMDB00572;YMDB01589,FooDB=FDB003275,STOFF=STOFF_103,UNPD=UNPD145834,BLEXP=BLEXPDB00000008038,NPA=NPA006632
0.02	4007	Norvaline	HMDB=HMDB0013716,ChEBI=CHEBI:18314;CHEBI:28804;CHEBI:19475;CHEBI:58441,DrugBank=DB03519;DB04185,YMDB=YMDB00822,FooDB=FDB005441,STOFF=STOFF_6870,LipidMAPS=LMFA01100041,Urine=HMDB0013716,Feces=HMDB0013716,Serum=HMDB0013716,PlantCyc=L-2-AMINOPENTANOIC-ACID,UNPD=UNPD58195,BLEXP=BLEXPDB00000000824
0.02	4179	indoline	ChEBI=CHEBI:43295,BLEXP=BLEXPDB00000010328
0.02	6243	(2R)-2-Hydroxy-2-methylbutanenitrile	HMDB=HMDB0060309,ChEBI=CHEBI:60908;CHEBI:60954,FooDB=FDB030109,PubChem=49859714;12650900;97823,PlantCyc=CPD-10276;CPD-12699,UNPD=UNPD105379;UNPD194415,BLEXP=BLEXPDB00012650900
0.02	6674	N-methyloctan-1-amine	BLEXP=BLEXPDB00000075538
0.02	9997	Plantagonine	HMDB=HMDB0033482,FooDB=FDB011526,UNPD=UNPD155854
0.02	11318	L-2,3-Dihydrodipicolinate	HMDB=HMDB0012247,KNApSAcK=C00007500,ChEBI=CHEBI:18042;CHEBI:30620;CHEBI:11421;CHEBI:48052,FooDB=FDB028889;FDB030155,BMDB=BMDB12247,ECMDB=ECMDB04056,PubChem=5460228;439982,PlantCyc=2-3-DIHYDRODIPICOLINATE,BLEXP=BLEXPDB00000439982
0.02	11745	Terrein	KNApSAcK=C00045413;C00048554,NANPDB=NANPDB_4135;NANPDB_4166,UNPD=UNPD137707;UNPD73690,NPA=NPA019504
