	Metabolite ID	Feature Importance	Metabolite name
0	1181	0.013536162477402828	469 - Butyric acid
1	6325	0.010765373138542532	Unknown
2	7937	0.026164985012085105	w/o MS2:4,5-dihydroxy-3-propylcyclopent-2-en-1-one
3	8301	0.010810171568653073	513 - Indoleacetaldehyde
4	9955	0.013985477032560048	Unknown
5	10232	0.011489336879731764	Unknown
6	12803	0.011121269493496275	Unknown
7	16181	0.02488270004599286	w/o MS2:Unknown (carbon number 20);PlaSMA ID-1208
8	21583	0.014515466862761551	Unknown
9	21941	0.012035783281265708	w/o MS2:NCGC00384756-01_C27H42O4_(3beta,5alpha,8xi,9xi,14xi,25S)-3-Hydroxyspirostan-12-one
10	29845	0.011469341233960904	Unknown
