	Metabolite ID	Feature Importance	Metabolite name
0	1181	0.01405450393874619	469 - Butyric acid
1	2868	0.020551282051282052	Unknown
2	5142	0.012140881609593744	Isoquinoline
3	7849	0.016408164983164983	L-Histidine
4	7937	0.011215312238459651	w/o MS2:4,5-dihydroxy-3-propylcyclopent-2-en-1-one
5	9955	0.010407484407484407	Unknown
6	9956	0.019627567476856376	Unknown
7	10232	0.018895716925196503	Unknown
8	10680	0.014189014974447538	w/o MS2:Unknown (carbon number 10);PlaSMA ID-523
9	11283	0.02778629862133699	w/o MS2:570 - Protoporphyrin IX
10	12531	0.011102043118172152	Tryptophan
11	13112	0.020442420284512524	w/o MS2:Unknown (carbon number 12);PlaSMA ID-784
12	15223	0.023982893039744897	w/o MS2:aspernigrin A
13	16120	0.018328498342400915	Unknown
14	16297	0.011615231615231618	Unknown
15	24101	0.011437819348029066	w/o MS2:Putative Chenodeoxycholic acid Phenylalanine conjugate
16	25728	0.010751311351484914	PEG n14
