	mean	iqr	cilo	cihi	whishi	whislo	fliers	q1	med	q3
0	24.028445403231625	0.012145036220552186	24.026274188782057	24.030106942072234	24.050398738543187	24.010918530146277	[]	24.022265340328214	24.028190565427145	24.034410376548767
1	25.914342708506457	0.09456258913449034	25.896832653509218	25.926674892597756	26.06896774587177	25.729766048590346	[]	25.865955232222873	25.911753773053487	25.960517821357364
2	24.03114657931307	0.011354138215388332	24.02899248609247	24.03257564630804	24.0476923765455	24.01454625511169	[24.05428406]	24.02535402059555	24.030784066200255	24.03670815881094
3	23.878993550657025	0.026986836456117658	23.876354942367183	23.884871498789106	23.91847423775991	23.847172197954997	[]	23.864420280002413	23.880613220578145	23.89140711645853
4	27.482903807902154	0.09262974118429668	27.461799562632773	27.49103182994305	27.655317058744885	27.300169779618585	[27.25567931 27.29468962 27.69576841 27.69769011]	27.43845627134187	27.476415696287912	27.531086012526167
5	27.245750777494774	0.08522468472525446	27.23925705766082	27.26615242337674	27.385920329841866	27.082018181403136	[]	27.20412451388068	27.25270474051878	27.289349198605933
6	26.52183291798101	0.19823073444497652	26.510516304669974	26.573074331328808	26.718966301357245	26.23165787503076	[]	26.42731187031761	26.54179531799939	26.625542604762586
7	24.092147701772795	0.06759860514080529	24.07881651388282	24.10014940837236	24.201009303365435	23.988996569345865	[24.23871882]	24.05680397482868	24.08948296112759	24.124402579969484
8	25.71525719646375	0.018725551952357478	25.71063771113611	25.716547155912757	25.75086442458853	25.681721546035746	[]	25.705310411245584	25.713592433524433	25.72403596319794
9	35.726798145897035	0.07428065446262622	35.713537200756505	35.73697882889313	35.85901683998954	35.61899315851385	[35.87301114]	35.68471318233867	35.72525801482482	35.758993836801295
10	29.069532073958786	0.05812932522472636	29.062271468426886	29.08061602981516	29.166004583699372	28.965434266483285	[29.1864266]	29.040985686060324	29.071443749121023	29.09911501128505
11	27.289041382913464	0.060189403023041876	27.28164063125811	27.300635315858546	27.38662580244881	27.180668695540653	[27.41041216]	27.253245877901705	27.291137973558328	27.313435280924747
12	27.090299270497187	0.026242765519313593	27.0876111057158	27.095892846837103	27.13585574131205	27.047118601676797	[27.0272973  27.03781059 27.0266459  27.14318931 27.14351652]	27.077421027943032	27.091751976276452	27.103663793462346
13	26.589558709490014	0.03301430043426734	26.5863992402795	26.596817955079064	26.626411987162122	26.545584514625666	[]	26.57361911324528	26.591608597679283	26.606633413679546
14	20.086977099507397	0.17130655520303506	20.069958361931082	20.124019605649064	20.378778447945916	19.76534191692443	[19.65550043 19.7199311  19.67118703]	20.019634454431984	20.096988983790073	20.19094100963502
15	25.49111056490061	0.18047464659100498	25.436217996708116	25.49317252388724	25.730380390167234	25.332208172684624	[]	25.41046593028401	25.464695260297677	25.590940576875013
16	20.210570026269263	0.11286957089106764	20.193962587387002	20.229582178085412	20.390004386901857	20.029830163319904	[]	20.1551690454483	20.211772382736207	20.268038616339368
17	20.75241039616067	0.10785459210931236	20.735148088716585	20.769185043013017	20.904003262797122	20.60232066474091	[]	20.69757999210715	20.7521665658648	20.805434584216464
18	20.640393988399683	0.08819374553362636	20.623759434163425	20.651591781653245	20.791451242038182	20.52221497558413	[20.83490414 20.83514815]	20.588316739093692	20.637675607908335	20.676510484627318
19	20.586015541570088	0.053044601463135166	20.57766681286282	20.594406727597683	20.691470679328553	20.48932588132223	[20.45643796 20.48537197 20.45045274 20.45172005]	20.56513033421834	20.58603677023025	20.618174935681473
20	21.626706074594086	0.03659503756870208	21.622854301826134	21.634403032360847	21.67451051830285	21.57608776536408	[]	21.608121373676145	21.62862866709349	21.644716411244847
21	20.823696251511862	0.10419989218031134	20.807445929478746	20.840329526722712	20.983150242169703	20.67671327177684	[]	20.77429413495745	20.82388772810073	20.878494027137762
22	23.76298168580219	0.03306676796504604	23.757233654783665	23.767668927384914	23.817968606948853	23.699562705993653	[]	23.745729214236846	23.76245129108429	23.778795982201892
23	29.16089340222743	0.012062892111529777	29.158034181854745	29.161841011953058	29.182476550526086	29.140449686996522	[29.18666566 29.18756474]	29.15427012944599	29.1599375969039	29.16633302155752
24	29.99169640151242	0.06598950569213713	29.982094205579568	30.002919297449655	30.09362070496877	29.881506344477334	[]	29.959927753811783	29.99250675151461	30.02591725950392
25	23.599143568952705	0.06798168055216536	23.586972612733106	23.60842639887884	23.70293929417928	23.508240300814307	[23.46013822 23.43132641 23.73691673 23.75746219]	23.56290940870558	23.597699505805974	23.630891089257744
26	35.46903385426314	0.05642398175739061	35.46135193221636	35.47915831811741	35.54853864245944	35.38386100321381	[]	35.442633865477546	35.47025512516689	35.49905784723494
27	22.340138006658076	0.06907831187338331	22.327180737349703	22.34898060046287	22.466712203354035	22.22239381757382	[22.49237709]	22.303151826465363	22.338080668906287	22.372230138338747
28	29.354410090395884	0.07626581163289359	29.345835731958296	29.36990383971488	29.468416511669815	29.23515005931399	[29.51468413]	29.31669090515676	29.357869785836588	29.392956716789655
29	28.400622448420748	0.008760678927103527	28.40069665804242	28.403461369515675	28.41189717733292	28.38325781790416	[]	28.396249553362523	28.402079013779048	28.405010232289627
30	30.89703579527066	0.012380888117682787	30.895181571733563	30.89908875560742	30.916442994329667	30.87967959770323	[]	30.89076637151885	30.89713516367049	30.903147259636533
31	28.737779089097007	0.07731961244628849	28.728856027594354	28.75325669578644	28.847149636813565	28.595645723774318	[28.56430687 28.56586665]	28.702696708531604	28.741056361690397	28.780016320977893
32	25.87322255064307	0.030069597800572723	25.865955741044132	25.875445161068207	25.926230883462086	25.824947138627373	[25.94479662]	25.858196854704907	25.87070045105617	25.88826645250548
