	Metabolite ID	50 biggest coefficients
889	13949	136.50679188094864
676	11455	131.42358580176872
1236	17442	111.7390389446249
1120	16365	110.09903929883431
1494	20705	104.28641339857782
1765	23332	102.69768041767772
2102	28279	102.35716303666092
1529	21047	95.72228081792316
75	2115	93.1775179221862
657	11147	91.71102449095346
901	14070	91.52548871547305
1287	18022	90.84703825074644
1637	22347	85.09338616753067
1547	21236	82.37783857386718
135	3110	82.02834095028682
134	3109	81.9260210727904
2047	27337	81.90729825807261
911	14157	81.49317033189841
463	8747	80.514842276569
211	4994	79.07005999204459
577	9996	77.60284997099991
621	10561	77.54416583920288
1840	23860	76.45344753250104
1200	17037	76.3891983947025
43	998	76.04231556161292
41	994	75.96823237211015
453	8504	75.22712603842757
182	4291	75.06188347661704
439	8309	74.65852726754186
1647	22428	74.61671348956021
1211	17189	72.4780893058991
1680	22690	72.30526156467458
1671	22606	72.12067870117976
1879	24112	71.57000229894236
980	14922	69.39403921198945
955	14648	69.3619298896817
1616	22041	69.13246105996075
582	10124	68.8800918493724
1439	19974	68.86531790192791
1062	15803	68.20192344659378
956	14659	67.78322154288317
2097	28216	67.66377974280724
966	14782	66.83598891150746
1334	18725	66.12504795967857
278	6241	66.05265714186481
181	4290	65.7006743238225
991	15065	64.54274904051388
279	6242	64.52066435230769
815	12915	63.38194215135637
280	6243	63.3543610668105
