	Metabolite ID	50 biggest coefficients
1236	17442	110.68104198143924
1168	16799	107.22799121208942
1287	18022	99.09500865816254
1200	17037	96.00655087884884
1169	16800	95.87779734869396
1170	16804	92.22498479879144
1062	15803	91.87704362209412
1120	16365	91.6434309017734
991	15065	87.99819826330013
394	7475	86.39329634372551
1547	21236	84.16993063200924
280	6243	79.57801878827112
463	8747	77.43832450242905
75	2115	77.22055387197086
815	12915	76.63870757480876
134	3109	74.21860904813585
1620	22073	74.15089217371919
870	13710	73.11033752729313
182	4291	72.91943772034111
676	11455	72.41045154115707
966	14782	71.59845634076554
869	13707	71.2886996239236
577	9996	71.05163058394959
901	14070	69.01902972527185
1234	17426	68.7518584653269
41	994	68.21790581229392
571	9951	67.9073393719747
1240	17487	67.51988668861617
1266	17718	67.38200877447554
932	14295	67.27358080306118
228	5262	66.53776708638904
54	1191	65.96085410447948
1295	18061	65.51424662272156
211	4994	65.20625180418381
637	10902	64.73961116382927
980	14922	64.2216880366492
1211	17189	64.03462691876871
677	11456	61.61178432920426
754	12355	61.43181578918068
279	6242	61.38042833820116
1860	23953	61.22662586236156
395	7479	61.1907131267043
396	7487	61.164667021553406
1046	15661	60.308039563256905
764	12432	59.888257920367
1557	21358	59.399979669343445
604	10347	58.8927328961453
1056	15720	58.39512783026559
330	7025	58.38307194739765
518	9357	58.26170339524357
