	Metabolite ID	50 biggest coefficients
1120	16367	744.9249650241914
949	14546	620.7087549026118
571	9955	549.8979134294115
1944	24642	538.716831181271
1463	20398	524.4515147991613
572	9956	484.22685230409394
573	9957	482.9497502975508
656	11147	469.964713985168
393	7475	465.9050373933695
1412	19801	454.489204129695
581	10124	448.50509259181945
1653	22498	436.880709667332
1525	21052	431.4002065118229
395	7487	430.8144433943601
1012	15271	398.66217146315785
2026	26586	389.30725531786817
394	7479	387.6544681286843
931	14295	386.21910079621625
1096	16171	382.9930697524615
1672	22668	377.4825209409435
1394	19519	369.10723619895896
1618	22131	367.49231046325576
299	6638	363.1352484576482
1671	22665	359.8569782088156
834	13188	352.64919135471723
486	9004	350.4212405620182
1428	19930	349.15267149186576
1710	22979	341.84624799797507
1902	24336	340.5261855694015
161	3933	340.42780162753
324	6918	339.3041087332328
1675	22693	338.5933521088962
1539	21188	336.49922166309136
226	5218	335.6530674779645
1075	15990	335.3014027827637
1263	17718	333.51033940365375
1357	19009	332.02486022474903
1853	23953	321.2441321532652
753	12355	317.1384831103583
1868	24098	312.5298728616548
1989	25391	311.9647803388994
1224	17331	309.92739976891977
1820	23758	309.5205629061275
673	11452	309.4051369518101
929	14292	308.10879063292987
674	11453	307.932611489952
1320	18571	306.71347840668136
1258	17679	302.4163463253861
1388	19432	301.45376340770684
1903	24338	294.3334231844303
