	Metabolite ID	50 biggest coefficients
1115	16365	1004.0660495906884
1231	17442	941.7851827727146
75	2115	830.3124425435467
460	8747	738.6161191715696
574	9996	704.6789693835153
391	7475	697.2694479693223
1057	15803	696.9026855980013
393	7487	682.7283522717963
181	4291	681.4158898819453
392	7479	662.7278221428361
278	6243	657.5053329661081
1071	15990	644.1296844773318
1650	22498	643.8761727491591
1476	20578	633.299047090226
434	8300	631.679919932321
951	14659	622.3003183537262
975	14922	619.6337168426518
1536	21188	603.308288450167
226	5262	597.0855159427052
1051	15720	563.209167526032
569	9955	552.4500856630415
1944	24642	543.6718130097003
760	12432	538.2443236136504
1157	16722	537.9539352037258
1923	24535	535.5263064898178
1953	24766	532.8885969235902
331	7073	515.6417643592285
1180	16924	513.7616433763482
942	14535	499.0422764555173
54	1191	496.9978506873977
343	7157	493.1447870530139
298	6638	491.3821538679646
658	11241	490.6506639910236
1238	17546	490.4681520542363
1008	15271	482.55106774688096
650	11113	479.94520495113954
594	10239	474.3718638071532
192	4738	473.5712951319104
262	5903	472.3358180171016
64	1549	470.8303527357288
822	13098	468.0524447121049
570	9956	463.8669837431965
571	9957	462.3329406974556
176	4206	460.8380292120327
831	13188	460.71243759729975
629	10784	459.5423898684297
177	4220	454.99053489520514
0	17	454.9216221260527
1668	22664	454.1216724292124
89	2413	452.5072447690161
