	Metabolite ID	50 biggest coefficients
1236	17442	215.64788227454625
1120	16365	205.0319435859436
1062	15803	164.38150081311443
980	14922	149.7935282396012
463	8747	148.78672836198342
956	14659	141.37965782306853
1056	15720	136.94149203570055
75	2115	132.32599007969938
1765	23332	131.6841497002391
1162	16722	129.4686566054913
676	11455	121.3539620184073
764	12432	120.14862061959305
259	5824	119.99559618370184
333	7073	119.4799737694687
64	1549	119.06061653020129
1263	17704	118.19031182808078
0	17	115.12833570396909
228	5262	114.86380531590385
1185	16924	113.34806836554456
1484	20578	111.22854192934147
1397	19490	111.08979118520688
244	5642	110.1465487141482
632	10784	108.87929831259687
825	13094	108.7104786527268
193	4738	108.52858623479132
269	5965	108.5227537588201
72	1827	108.29592037556624
446	8402	107.3556806411498
156	3794	107.3548120608145
32	723	106.91627801690112
615	10482	106.5268123721389
799	12760	106.33292546967444
662	11241	106.06042617103576
89	2413	105.60859352935564
99	2640	105.34391827480752
1417	19801	105.29137621481806
298	6605	105.2179760988196
478	8875	105.14277593996512
653	11113	105.12732795805384
280	6243	105.02438588216457
623	10658	104.78863527395336
345	7157	104.4186817484755
519	9376	104.33440904425586
60	1352	103.83100555717992
178	4220	103.6292330811402
177	4206	103.2882279418384
1557	21358	103.04733697372416
1468	20398	102.02707561822756
82	2280	100.98121038460688
146	3488	100.96097231480026
