	Metabolite ID	50 biggest coefficients
1236	17442	11.80895508640856
1120	16365	11.582204614688669
463	8747	9.351170938366552
1062	15803	8.990440314804115
75	2115	8.065881350796133
980	14922	7.669812978398261
676	11455	7.621640559730994
956	14659	7.057992168664097
1162	16722	6.765567839117125
1056	15720	6.763824693397279
228	5262	6.673678884262525
764	12432	6.255535389982391
182	4291	6.059935852680081
1211	17189	5.963782664323049
333	7073	5.902592150406107
577	9996	5.8636214222232725
280	6243	5.832553222236417
345	7157	5.776608045742832
662	11241	5.747694391440234
64	1549	5.674176739282869
134	3109	5.646037375431598
901	14070	5.619424485719708
653	11113	5.613711874720854
597	10239	5.588079887357985
1185	16924	5.577238684931552
0	17	5.573058821299222
135	3110	5.572840475756095
193	4738	5.570650789958769
89	2413	5.500061609772041
799	12760	5.482080995681663
1620	22073	5.4771670540537984
825	13094	5.465462301906111
178	4220	5.4381425500163925
623	10658	5.415105371555587
446	8402	5.409688365849694
439	8309	5.379444141529608
478	8875	5.379124112293326
632	10784	5.359815665628616
32	723	5.351003600530014
578	9997	5.32341088127209
298	6605	5.314428617601743
453	8504	5.312377256481083
211	4994	5.282141033893957
244	5642	5.279718266126606
1658	22498	5.264417294833208
1931	24535	5.2447882935788375
60	1352	5.214849499937013
1547	21236	5.172864163688526
99	2640	5.155783676099635
519	9376	5.154615766395558
