	Metabolite ID	50 biggest coefficients
915	16367	168.06685625188203
519	11147	154.33804662258743
768	14546	147.595348420626
451	9955	140.57642707619868
452	9956	139.70505582653809
453	9957	128.15584611104305
1213	20398	125.17208030485308
1182	19930	116.542783164777
1087	18571	107.2849467602157
1658	24642	106.89222006649044
1117	19009	106.60616951556074
750	14295	103.7208216287038
1356	22131	97.9120536624233
727	14092	96.4798240507514
460	10124	94.86876707690054
1125	19144	93.3470815531061
1666	24766	92.87856679054808
1588	24098	92.74970019182454
1410	22693	92.63968436744578
1030	17654	91.62064832677892
601	12355	91.38520180136427
1433	22863	89.44788443465141
1150	19520	88.34672719484581
701	13758	87.40912434115732
1033	17679	85.7785371405642
765	14535	85.26100291971771
1702	25441	85.14387181662067
748	14292	83.7520387980848
1328	21749	83.73487251449019
386	9004	83.6524396305356
1434	22865	83.09396426560926
1003	17331	82.06401420792083
238	6638	81.9352988363688
746	14245	81.58090125939755
1443	22979	81.06616820130417
1037	17718	80.67921127716525
1166	19801	80.38044116595599
1619	24336	80.03575105468664
1094	18691	79.34245584043659
661	12990	78.4759017205869
1052	17989	76.83244713016389
1018	17546	76.67755770190418
1701	25391	76.52709799333256
1214	20410	74.9539095273708
1164	19761	74.74878911467243
124	3933	74.45087000741202
1035	17704	74.37238427058855
1406	22665	74.28289913818573
566	11880	73.98658162918413
1733	26586	73.70419744301938
