	Metabolite ID	50 biggest coefficients
1126	17442	418.5160665121681
1022	16365	414.22480581380455
414	8747	320.0733623382233
966	15803	318.1858526373444
69	2115	306.3541047089633
892	14922	286.55049977464085
609	11455	268.7667242147754
872	14659	266.7192531029365
960	15720	250.4372124960263
1789	24642	249.0425815335469
1516	22498	248.4178526761864
349	7487	248.03252851656785
1798	24766	247.18333318909944
1060	16722	246.40517706620807
347	7475	241.14209735933105
822	14092	240.7733595381849
1770	24535	240.55257720056463
204	5262	239.12771315491165
348	7479	235.10321148287
1133	17546	234.882669135499
1352	20578	232.598581576152
694	12432	225.70129758214117
1150	17679	224.08937347035075
1081	16924	220.5959713916312
159	4291	219.55741331288107
295	7073	219.0901648935081
591	11147	217.09192133093464
595	11241	213.2319275187961
1687	23860	212.91392107932475
305	7157	210.5086487126544
59	1549	206.6271233627756
536	10239	205.99061896102532
0	17	203.23936015233315
751	13098	201.62230768731192
587	11113	201.33385127028
514	9955	201.2096909674498
79	2413	200.89762247563908
170	4738	200.31337051905496
1551	22768	200.1418624112876
250	6243	199.58099786223136
728	12760	199.5588455011741
155	4220	197.6955032392192
397	8402	197.12943993115903
842	14245	196.70475714545165
863	14535	194.7285007730067
559	10658	193.8941335848355
750	13094	193.69401109604908
568	10784	193.67609174714784
515	9956	193.67154963819596
906	15123	193.43547671946607
