50 biggest coefficients	Metabolite ID	Total score	Structure rank 1	Databases
#!{Type}N	T	T	T	T
418.516066512168	17442	4.731	(2S)-2-amino-3-sulfanylpropanethioic S-acid	BLEXP=BLEXPDB00022801374
320.073362338223	8747	7.1309	Athidathion	ChEBI=CHEBI:82103
306.354104708963	2115	8.3765	(2R)-2-Hydroxy-2-methylbutanenitrile	HMDB=HMDB0060309,ChEBI=CHEBI:60908;CHEBI:60954,FooDB=FDB030109,PubChem=49859714;12650900;97823,PlantCyc=CPD-10276;CPD-12699,UNPD=UNPD105379;UNPD194415,BLEXP=BLEXPDB00012650900
268.766724214775	11455	8.7649	Citric acid	HMDB=HMDB0000094,KNApSAcK=C00007619,ChEBI=CHEBI:16947;CHEBI:30769;CHEBI:35802;CHEBI:35806;CHEBI:35809;CHEBI:35810;CHEBI:76049,DrugBank=DB04272,SMPDB=PW_C000063,YMDB=YMDB00086,FooDB=FDB012586;FDB030735,STOFF=STOFF_39,BMDB=BMDB00094,Urine=HMDB0000094,Saliva=HMDB0000094,Feces=HMDB0000094,ECMDB=ECMDB00094,CSF=HMDB0000094,Serum=HMDB0000094,PubChem=31348;311,PlantCyc=CIT,UNPD=UNPD145647,BLEXP=BLEXPDB00000000311
266.719253102936	14659	4.1367	dicarbonic acid	ChEBI=CHEBI:48501,BLEXP=BLEXPDB00000153747
248.417852676186	22498	4.4421	Vindoline	KNApSAcK=C00001784;C00024613,ChEBI=CHEBI:16380;CHEBI:57753,PubChem=11953805,PlantCyc=VINDOLINE,UNPD=UNPD22081;UNPD29123;UNPD58448;UNPD80107;UNPD80408;UNPD86590,BLEXP=BLEXPDB00000425978
248.032528516568	7487	8.9677	Acetaminophen	HMDB=HMDB0001859,KNApSAcK=C00044491,ChEBI=CHEBI:46195,DrugBank=DB00316,SMPDB=PW_C001233,T3DB=T3D2571,FooDB=FDB021663;FDB022713,STOFF=STOFF_2486,BMDB=BMDB01859,Urine=HMDB0001859,Saliva=HMDB0001859,Feces=HMDB0001859,CSF=HMDB0001859,Serum=HMDB0001859,PubChem=1983,UNPD=UNPD57789,BLEXP=BLEXPDB00000001983
247.183333189099	24766	8.1868	Bilirubin	HMDB=HMDB0000054;HMDB0000488,KNApSAcK=C00029828,ChEBI=CHEBI:16990;CHEBI:57977;CHEBI:72719;CHEBI:132996,SMPDB=PW_C000038,T3DB=T3D4350,FooDB=FDB021886;FDB022070,BMDB=BMDB00054;BMDB00488,Urine=HMDB0000054,Feces=HMDB0000054,CSF=HMDB0000054,Serum=HMDB0000054,PubChem=7067843;5280352,PlantCyc=BILIRUBIN,UNPD=UNPD120069;UNPD83125,BLEXP=BLEXPDB00000000250
246.405177066208	16722	5.0409	4,4'-disulfanyldibutanoate	ChEBI=CHEBI:138359;CHEBI:138402
