50 biggest coefficients	Metabolite ID	Total score	Structure rank 1	Databases
#!{Type}N	T	T	T	T
154.338046622587	11147	7.1231	Indole-3-propionic acid	HMDB=HMDB0002302,KNApSAcK=C00000115,ChEBI=CHEBI:43580;CHEBI:82916,DrugBank=DB02758,FooDB=FDB000941,BMDB=BMDB02302,Saliva=HMDB0002302,Feces=HMDB0002302,Serum=HMDB0002302,PubChem=3744,UNPD=UNPD38086,BLEXP=BLEXPDB00000003744
140.576427076199	9955	5.8774	(Cyclohexylmethyl)pyrazine	HMDB=HMDB0036175,FooDB=FDB015029
139.705055826538	9956	4.1537	3-(hexyloxy)propane-1,2-diol	STOFF=STOFF_9017,LipidMAPS=LMGL01020028
128.155846111043	9957	6.1539	1,1,1-triethoxypropane	BLEXP=BLEXPDB00000066995
125.172080304853	20398	7.2978	3a,4b,7a-Trihydroxy-5b-cholanoic acid	HMDB=HMDB0000320,FooDB=FDB021946,BMDB=BMDB00320,LipidMAPS=LMST04010060;LMST04010061
116.542783164777	19930	4.1767	betaxanthin	NANPDB=NANPDB_1001,PubChem=25245128;25245127
106.606169515561	19009	6.299	Homovanillin	HMDB=HMDB0005175,ChEBI=CHEBI:28111,SMPDB=PW_C002411,FooDB=FDB023632,BMDB=BMDB05175,PubChem=151276,UNPD=UNPD60748,BLEXP=BLEXPDB00000151276
103.720821628704	14295	8.1051	Prolylhydroxyproline	HMDB=HMDB0006695;HMDB0029018,ChEBI=CHEBI:74767;CHEBI:133733,FooDB=FDB024028,BMDB=BMDB06695,Urine=HMDB0006695,CSF=HMDB0006695,BLEXP=BLEXPDB00003952518
97.9120536624233	22131	7.2252	LysoPE(15:0/0:0)	HMDB=HMDB0011502,FooDB=FDB028218,BMDB=BMDB11502,LipidMAPS=LMGP02050031,Feces=HMDB0011502
94.8687670769005	10124	6.9115	Nicotine-1'-N-oxide	HMDB=HMDB0001497,ChEBI=CHEBI:30734,SMPDB=PW_C001154,FooDB=FDB022656,BMDB=BMDB01497,Urine=HMDB0001497,Serum=HMDB0001497,PubChem=68107;409,PlantCyc=CPD-2743,UNPD=UNPD96993,BLEXP=BLEXPDB00000000409
93.3470815531061	19144	4.4537	Pregnanetriol	HMDB=HMDB0006070,ChEBI=CHEBI:34464,FooDB=FDB023826,UNPD=UNPD130078;UNPD15640;UNPD195845;UNPD44873;UNPD59476;UNPD63392;UNPD67479,BLEXP=BLEXPDB00000101967
92.8785667905481	24766	8.1868	Bilirubin	HMDB=HMDB0000054;HMDB0000488,KNApSAcK=C00029828,ChEBI=CHEBI:16990;CHEBI:57977;CHEBI:72719;CHEBI:132996,SMPDB=PW_C000038,T3DB=T3D4350,FooDB=FDB021886;FDB022070,BMDB=BMDB00054;BMDB00488,Urine=HMDB0000054,Feces=HMDB0000054,CSF=HMDB0000054,Serum=HMDB0000054,PubChem=7067843;5280352,PlantCyc=BILIRUBIN,UNPD=UNPD120069;UNPD83125,BLEXP=BLEXPDB00000000250
92.7497001918245	24098	4.2964	LysoPC(18:3(6Z,9Z,12Z))	HMDB=HMDB0010387,ChEBI=CHEBI:88698,FooDB=FDB027538,BMDB=BMDB10387,LipidMAPS=LMGP01050128,Serum=HMDB0010387,BLEXP=BLEXPDB00052924045
92.6396843674458	22693	4.7315	Vitamin K1 2,3-epoxide	HMDB=HMDB0002972;HMDB0062451,ChEBI=CHEBI:15759;CHEBI:28371,SMPDB=PW_C001746,FooDB=FDB023087,BMDB=BMDB02972,LipidMAPS=LMPR02030031,Serum=HMDB0002972,PubChem=5280845,UNPD=UNPD6593;UNPD85681,BLEXP=BLEXPDB00000091577
91.6206483267789	17654	7.7578	1-[2-(3-ethylanilino)-2-oxoethyl]-6-oxopyridine-3-carboxylic acid	BLEXP=BLEXPDB00071700183
91.3852018013643	12355	6.576	4-hydroxy-2,2,6,6-tetramethylpiperidine-1-ethanol	STOFF=STOFF_6089
89.4478844346514	22863	4.3104	ulipristal acetate	ChEBI=CHEBI:71025,DrugBank=DB05366,STOFF=STOFF_5181,BLEXP=BLEXPDB00013559282
