	Metabolite ID	50 biggest coefficients
75	2115	645.8613355514524
1113	16365	626.0701792732441
1229	17442	566.3586425773424
673	11455	543.8343461130992
461	8747	510.1997763369262
278	6243	480.532082524229
180	4291	472.9400933653606
574	9996	467.35513945873873
54	1191	452.9352713400756
437	8309	451.9396223230885
276	6241	432.7686599521447
451	8504	420.7725615745444
1204	17189	413.19364793146406
1055	15803	408.5926565055264
179	4290	397.99203864561815
575	9997	393.2898439846732
1114	16367	387.4820184683352
1610	22073	382.9823401278744
277	6242	375.76813538260274
132	3109	363.2300011076765
1250	17654	360.5559685832723
974	14922	359.5686550659625
209	4994	358.39017724935576
133	3110	357.5531991062862
950	14659	357.5383037024243
1648	22498	356.8192669717736
944	14546	355.36052552376105
435	8300	352.1754066838432
960	14782	350.0779801427851
2007	26165	344.53966104512085
226	5262	340.66554427488285
1533	21178	338.8691777361922
1538	21236	338.27570543048364
1155	16722	337.2655360084556
895	14070	334.0647747556942
1049	15720	333.84195944989875
790	12753	331.26749460024627
758	12432	311.1944192088898
1990	25441	310.53483442214394
1354	19009	308.6364510844646
1279	18022	308.4832455279986
343	7157	306.7596009288755
594	10239	304.3271857236037
301	6674	303.8877538628233
1839	23893	302.0192842803838
185	4504	300.2453761924974
262	5903	295.8342620185954
331	7073	292.3333286841456
1368	19233	289.05694165891987
793	12760	287.951431908731
