	Metabolite ID	50 biggest coefficients
1120	16365	2755.470399632261
1236	17442	2616.797932163059
75	2115	2482.227873048056
463	8747	2095.439157540107
577	9996	2008.9085123351465
1062	15803	1942.7617158912997
182	4291	1872.937851385285
280	6243	1809.626159296706
980	14922	1672.373931773388
676	11455	1644.675656246731
439	8309	1585.533245733281
453	8504	1523.2693346554186
228	5262	1507.2191273982385
54	1191	1505.931079242645
1056	15720	1505.7818094889303
956	14659	1500.098034316509
1162	16722	1492.6997027741334
597	10239	1409.2560928233345
578	9997	1398.8889491567743
1658	22498	1394.6543490122874
764	12432	1386.9564647318778
279	6242	1379.234796602938
181	4290	1360.2279050506845
437	8300	1314.7180561891705
333	7073	1312.591432074851
1185	16924	1302.9409982475524
653	11113	1295.3968929838338
662	11241	1278.879292496603
64	1549	1260.482187882149
0	17	1253.459045583411
278	6241	1245.0143329901875
193	4738	1243.9861436829926
345	7157	1242.5389255050331
799	12760	1231.0360044555182
825	13094	1220.3124665865937
178	4220	1219.924066671976
89	2413	1219.2708500400345
244	5642	1215.0936482499892
623	10658	1209.0419698128896
446	8402	1198.4250609312064
478	8875	1198.3220981372071
32	723	1197.415604788607
632	10784	1186.869235321073
298	6605	1185.0226031796094
1210	17172	1173.3241518241814
60	1352	1169.8555462938573
146	3488	1167.5992905368453
269	5965	1164.536085538717
177	4206	1161.2359237980236
99	2640	1160.2948259166465
