	Metabolite ID	50 biggest coefficients
75	2115	0.592702558677588
1120	16365	0.5633354946241482
1236	17442	0.5440003707730654
463	8747	0.4176057319717824
182	4291	0.4114530742323543
577	9996	0.408662393939293
280	6243	0.4067735375351122
1062	15803	0.4037390236253186
980	14922	0.3552246094484813
439	8309	0.3522068334233844
956	14659	0.3340918777513975
437	8300	0.3300809676061691
1658	22498	0.3251373139808739
1056	15720	0.3218453717267079
676	11455	0.3129637005638946
1162	16722	0.3116009160493819
396	7487	0.309832940717926
394	7475	0.308200592830651
578	9997	0.3030632572597413
826	13098	0.3016934097843257
228	5262	0.299448702257244
1185	16924	0.2949070876142131
333	7073	0.2897564864453031
395	7479	0.2873420992629004
453	8504	0.2864724904095415
764	12432	0.2829697068407749
597	10239	0.2828106268953564
904	14092	0.2811257868595323
662	11241	0.2769277203371288
54	1191	0.2750679339519258
64	1549	0.2703391753283105
211	4994	0.270165443845397
279	6242	0.269280115487748
181	4290	0.2691704489961214
0	17	0.2669092775491246
1961	24766	0.265847199757125
345	7157	0.2652762676835933
653	11113	0.2626528937174363
193	4738	0.2615437640232972
1261	17679	0.2613885369400953
89	2413	0.2608935055084306
43	998	0.2596834290886971
178	4220	0.2590981485744548
244	5642	0.2570092588284008
278	6241	0.253194869449409
146	3488	0.2529290442703463
825	13094	0.2527188760909399
623	10658	0.2525337254830878
632	10784	0.2521243985416975
799	12760	0.2513194540550708
