	Metabolite ID	50 biggest coefficients
1120	16365	186.7053685103932
75	2115	186.1171440732496
582	10124	150.8229723956297
439	8309	144.4805524005679
182	4291	143.1233563589111
1236	17442	142.4185701740315
43	998	136.25270003080857
577	9996	136.2460996686838
1840	23860	134.89055206978628
280	6243	134.4669603261292
41	994	130.15245209832042
278	6241	129.88184637079456
2102	28279	129.4517933343116
279	6242	127.91501504718788
676	11455	124.6514434442194
901	14070	121.28540514700347
211	4994	119.9580868544543
991	15065	119.6326868094402
1671	22606	119.59974486253842
796	12753	118.89671821132684
187	4504	118.5901972516498
578	9997	118.35972270513462
453	8504	118.34554007597552
815	12915	117.8033314637644
181	4290	115.80538029908094
1547	21236	112.23152587733364
143	3317	111.8826928118836
135	3110	110.75969514146384
134	3109	110.68082299839446
54	1191	109.05902151904893
966	14782	107.3386125265464
754	12355	106.69676432804452
1373	19187	104.74825605013038
1211	17189	104.40758929960906
1638	22357	104.34158159493155
615	10482	103.42116333152926
463	8747	102.81099081830692
685	11529	101.5549376836118
228	5262	98.90658806122492
677	11456	98.02434322370536
1656	22477	97.75982400223332
1765	23332	96.53902945081624
1931	24535	96.435373423659
303	6674	95.66338431171076
764	12432	95.52166043708505
956	14659	95.07075081608478
1655	22476	93.20844329420294
980	14922	93.01006815200984
345	7157	92.93646031883016
1542	21178	92.71158838603444
