	Metabolite ID	50 biggest coefficients
65	2115	155.74567193690947
183	4994	145.8891956611335
1073	17442	143.55541048378112
508	9996	136.98259569090024
978	16365	135.22155499726168
832	14546	127.2630864107479
387	8309	123.7439975696429
160	4291	121.15929976117484
680	12513	120.51508538797698
245	6241	118.2510465365822
509	9997	113.70096566896784
159	4290	112.9954811902442
247	6243	108.99430386114982
400	8504	108.1817733636048
596	11486	107.41844405755754
791	14070	107.02865506225176
1054	17189	105.28783560772376
47	1191	102.40848713379212
593	11455	101.90643435613164
115	3110	101.17264845024506
713	12915	101.02316601681778
933	15803	100.25025524059204
114	3109	99.86560302495997
246	6242	99.80846802038992
409	8747	99.44686325875912
979	16367	98.86952733879409
1044	17037	97.6637710073849
35	994	97.40489162795824
861	14922	95.67233795540368
1014	16722	92.58940607642782
1616	23893	91.28029136800156
1432	22357	90.9910510554165
1349	21236	89.98566658882271
1052	17166	87.84494638611416
1345	21178	87.83201773912495
928	15720	86.98082148444361
1364	21442	86.83613670101327
838	14659	85.33617086066353
164	4504	83.18011695781553
291	7025	82.99413721734346
267	6674	82.87100915932623
469	9685	82.24041565743458
197	5262	81.32180358303134
350	7479	80.7941300435596
671	12432	80.59779678919138
56	1549	80.44482282750482
594	11456	80.42076756896176
182	4993	80.37198840784235
747	13530	80.27229871349766
847	14782	80.25867180280616
