	Metabolite ID	50 biggest coefficients
16	5882	11.892877925349335
25	9955	10.296083228709676
121	24766	10.009284891007814
28	10124	9.936448112863406
41	12355	9.90956905724072
49	14092	9.12141118967536
26	9956	8.43961445458823
27	9957	8.312690701642266
77	19144	7.691409933400487
132	28268	7.555711680941115
70	17546	7.490786024152761
65	16171	7.050624166734194
58	14942	6.981669918542698
69	17042	6.6329851044242805
61	15271	6.558930155315746
104	22668	6.455145000626777
50	14245	6.324388726798984
39	11880	6.311763783997574
72	17704	6.29712486776062
83	19520	6.291170054021748
19	7475	6.162974145059776
107	22863	6.009710990404171
3	994	5.970452757930119
103	22665	5.959386611457702
64	15989	5.926896930479726
20	7479	5.802533447046115
120	24642	5.778727738296594
94	21340	5.700837365278012
133	28279	5.62445771817796
21	7487	5.612813996205344
8	3576	5.506512776117341
125	25441	5.498128656909272
51	14292	5.48340494750896
91	20524	5.412847616033438
4	998	5.169712049855329
59	15123	5.100982690170552
122	24769	5.044123050900965
44	12990	4.9555966987220526
34	11054	4.949839284680917
131	27470	4.748661914852403
73	18366	4.577780324638862
113	23332	4.519734199662376
84	19801	4.496594017561928
86	19930	4.469108714985572
75	19009	4.291162221933156
89	20398	4.040684236353103
36	11452	3.971995336786276
82	19504	3.971091721928228
30	10285	3.970794616085684
105	22693	3.875102557843772
