	Metabolite ID	50 biggest coefficients
146	7475	51.21255754466835
147	7479	48.45990926063824
25	2115	47.74784572390109
148	7487	47.55320868841565
304	12513	36.95445883695489
213	9955	34.83543921096441
534	17679	34.5130296675802
924	24642	33.85701014491959
16	998	33.77660395009278
775	22664	29.1497541979356
64	4291	29.07565093287248
215	9957	28.744249518647315
214	9956	28.72629161854648
107	6243	28.06601315000912
778	22705	27.87483520107409
14	994	27.63204768609736
520	17442	27.51055721493985
692	21178	27.359975700773337
912	24535	27.346510272622805
525	17546	27.26872167283342
772	22623	26.984800532400048
693	21188	26.647853937585463
470	16365	25.1813047751976
686	21053	24.762213515130085
605	19487	24.72603507228184
49	3231	24.717778787066848
328	13098	24.61302556970152
861	23893	24.272480614453706
165	8309	23.37603788446845
705	21458	22.966097345876168
292	12291	22.65642629518868
931	24766	22.557072319322323
211	9907	22.40752597116904
400	14922	22.152408698567037
365	14092	22.037866981956498
268	11486	21.887677464423398
700	21291	21.786456855943307
898	24336	21.68593734339453
1013	29816	21.45030505536649
443	15803	21.353370088939823
217	9996	20.69991080831348
788	22779	20.690337420580875
218	9997	20.65372696414113
123	6918	20.585927265861216
172	8504	20.515689137095187
179	8747	20.49199436570045
910	24505	20.452451566303345
403	14975	20.36111828229421
701	21340	20.354714990107546
231	10482	20.11664297934017
