	Metabolite ID	50 biggest coefficients
74	2115	441.0476639512586
1119	16365	413.5756100171025
675	11455	364.5630676690674
1235	17442	361.9315084740391
54	1191	352.3425215326708
277	6241	349.1121120803349
438	8309	348.48809327784573
576	9996	346.0157992800494
1210	17189	337.8350564637076
181	4291	337.60451317631606
210	4994	333.27110656596375
279	6243	330.2167892404455
1619	22073	330.1872673942643
965	14782	323.386527484748
577	9997	320.95854428571056
278	6242	317.8306029480529
814	12915	314.0975268732017
180	4290	308.90914799300566
452	8504	305.88497611112416
134	3110	301.66980344052274
133	3109	301.4057773156099
462	8747	298.31278211637465
900	14070	287.39049147079527
142	3317	280.8920361722556
1056	15757	279.4211279145261
1546	21236	276.7885683921263
186	4504	276.0167271298191
1372	19187	272.7079994679724
1657	22498	269.91361223145947
795	12753	268.54989388033226
209	4993	266.5325398306077
1661	22537	265.81463928301184
676	11456	265.32699438213376
534	9685	263.695615166685
329	7025	261.116092056608
1660	22533	258.98271553267944
990	15065	252.4083084065138
753	12355	250.1918046631464
1061	15803	246.55230429468125
763	12432	239.5679675065904
302	6674	238.9418128848828
1999	25441	238.77135992450636
813	12914	238.17501684094228
1375	19233	237.47892759574543
227	5262	235.4855529545535
955	14659	233.31725170973732
1287	18024	231.47651826522096
979	14922	230.7422560612669
263	5903	229.2560486530231
570	9951	228.4168972354443
