	Metabolite ID	50 biggest coefficients
75	2115	598.4693398507452
1229	17442	566.7763111280773
1114	16365	531.5655229476408
461	8747	521.6311736993018
1056	15803	513.7013917722113
575	9996	480.9990192830738
182	4291	458.2442457657491
280	6243	453.5267817766496
975	14922	427.6214104390612
673	11455	421.0203214859658
1205	17189	416.0402324547566
951	14659	407.63349285169954
1156	16722	399.5237233994907
1050	15720	397.61981587572166
451	8504	391.8782523072067
228	5262	390.3446370380744
279	6242	386.2864763543793
437	8309	385.0058570474008
761	12432	370.328320697304
1610	22073	360.4668016927094
344	7157	356.5865028700594
332	7073	355.8583238919156
576	9997	351.5851598173392
569	9951	347.0416543939712
64	1549	343.8303694751091
54	1191	342.7485638898517
1537	21236	337.4517815160689
278	6241	334.157564593836
89	2413	334.1159601948129
193	4738	333.48377309290134
178	4220	332.9742269226347
650	11113	332.5118380670789
795	12760	330.6815842760765
0	17	329.8587060770048
517	9376	326.972120468978
181	4290	325.2775998844716
1686	22768	325.150915324028
476	8875	324.4355260492018
821	13094	322.6032926707502
297	6605	322.0973480306755
822	13098	321.4614313611788
435	8300	320.5113880697264
1921	24535	320.4682658810409
32	723	320.27030249141063
629	10784	319.7606223872762
620	10658	319.6257491706091
1648	22498	319.0233918592264
211	4994	318.30820043587505
1179	16924	316.5034008991042
60	1352	313.9547222732593
