	Metabolite ID	50 biggest coefficients
520	16367	62.95469066673422
269	11147	62.444955654591176
421	14546	58.46519005895132
224	9955	56.97433754027156
226	9957	51.02140659264516
225	9956	49.5607644481352
640	18691	48.1615747160556
716	20398	47.97667759047853
155	7475	47.13827134405827
157	7487	46.95449104895765
1003	24642	44.28760330549101
695	19930	44.23870376481186
420	14535	43.99427131787846
156	7479	43.080696421801285
688	19801	42.1740455217795
638	18571	40.34174302252696
229	10167	40.26806903801622
975	24336	39.657179657967376
626	18147	36.05272196087777
112	6638	35.27587881591528
976	24338	33.81383793238847
591	17465	33.592147546556895
656	19009	33.151202202556064
679	19520	32.881242585401175
58	3933	32.631323788736886
393	14092	32.28229168187964
943	23953	31.17903789616311
374	13758	30.04640334304108
415	14426	30.025535648593685
731	20684	29.87438973623377
660	19105	29.677968884534675
456	15229	29.37799415871636
564	17042	28.89581986512082
404	14245	28.202113875943382
295	11688	28.15040126641402
1055	26586	27.660387071831785
828	22452	27.50758863170988
808	22131	27.273126335651934
623	18061	27.044194074009745
280	11453	26.690363894274466
687	19761	26.664196483159536
581	17331	26.4847471730297
616	17989	25.78538874847778
861	22910	25.77942509576553
476	15520	25.721536594734577
190	8816	25.494834660732412
789	21796	25.37979359994068
449	15123	25.229834670195903
483	15672	24.98713027929481
666	19264	24.71791670275532
