	Metabolite ID	50 biggest coefficients
75	2115	20.924071106289105
1120	16365	17.414980729289258
1236	17442	17.172884426611866
182	4291	15.404668377101428
463	8747	14.327232559457192
577	9996	13.974870956148504
280	6243	13.705846314812954
1062	15803	13.468996924894988
1931	24535	13.306954132861463
396	7487	12.741164931041114
1658	22498	12.618078017684551
826	13098	12.502044817343831
980	14922	12.498080150233864
394	7475	12.432079780762766
439	8309	12.267103806191567
395	7479	12.161592721395154
572	9955	11.97660665944184
956	14659	11.842151133386526
437	8300	11.81069176152668
1261	17679	11.588975908964558
1056	15720	11.509149235619466
1162	16722	11.278893122171144
228	5262	11.083143445143271
1952	24642	11.041189713853695
1676	22664	10.938314728360956
662	11241	10.846920416003888
333	7073	10.711105918420053
578	9997	10.634322433447403
764	12432	10.4400915544999
43	998	10.367977531435104
574	9957	10.35857867339524
54	1191	10.32758687525023
279	6242	10.287148179459928
345	7157	10.124359879872255
653	11113	10.006656520483196
64	1549	9.988365286109104
1290	18042	9.89892626598808
193	4738	9.893499366731955
89	2413	9.89052597243118
1661	22533	9.885820191693131
0	17	9.884480459866868
573	9956	9.88427660786725
178	4220	9.87411805079317
1185	16924	9.833931359493656
1961	24766	9.78122771258197
181	4290	9.76772845220259
303	6674	9.592295319605515
623	10658	9.589748021654293
146	3488	9.569092047103528
298	6605	9.547268809931976
