	mean	iqr	cilo	cihi	whishi	whislo	fliers	q1	med	q3
0	24.04135000907023	0.17387681412916223	23.941658269584	24.07815156867539	24.29956807017541	23.819671785283248	[]	23.961890931011713	24.009904919129696	24.135767745140875
1	25.828678484303833	1.220667957724391	25.495244690163158	26.453469036976802	27.74816015156636	24.128040510824256	[]	25.17420403118499	25.97435686356998	26.39487198890938
2	24.04135000907023	0.17387681412916223	23.941658269584	24.07815156867539	24.29956807017541	23.819671785283248	[]	23.961890931011713	24.009904919129696	24.135767745140875
3	23.866257816883483	0.2684377020182538	23.73525067177633	23.94597426786066	24.11608943972649	23.62240399591008	[]	23.731064610206165	23.840612469818495	23.99950231222442
4	27.538369010470717	1.1484516336075465	27.251840881380875	28.1533754137628	29.38640942970052	26.34457937600412	[24.76735314]	26.845724246486405	27.702608147571837	27.99417588009395
5	27.245779469076254	1.0529963633250077	26.900800557684967	27.7274027028951	29.21993431196852	25.50785507502052	[]	26.6348915128613	27.314101630290033	27.68788787618631
6	26.50739067923346	0.9701646539322795	26.26602654811869	27.02760580145553	27.32927409186141	25.33877835845255	[]	26.00451515771922	26.64681617478711	26.974679811651498
7	24.013974067364707	1.3604398131322348	23.472689705117737	24.540634958426544	25.95183353870708	22.34583764711316	[]	23.34742890933932	24.00666233177214	24.707868722471556
8	25.682135338280588	0.42612414721708447	25.44910127499765	25.783608730563056	26.19660293309225	25.19649458589208	[]	25.516457901093197	25.616355002780352	25.942582048310282
9	35.692242940915804	1.1092392717467447	35.46655710024318	36.33730992856438	37.01010422572044	33.63320836043958	[]	35.2786513049366	35.90193351440378	36.38789057668335
10	29.032367990366303	1.0769608811970386	28.76298776337078	29.608402055110453	29.85281400642001	28.024020230692795	[]	28.5365833484899	29.185694909240617	29.613544229686937
11	27.229104550726458	1.242494457622925	26.75765215974384	27.73301030897784	29.224151841319927	25.676246671160914	[]	26.563973942894435	27.24533123436084	27.80646840051736
12	27.163745032649565	0.1228515321982222	27.225150897130508	27.32158934990611	27.50791343056367	27.166427101918902	[27.0147016  26.26203866 26.28661624]	27.217971462516353	27.27337012351831	27.340822994714575
13	26.579524395024706	0.3343967695500929	26.390560432115063	26.653061896211884	27.23680119678542	26.1833789076421	[]	26.405951108023057	26.521811164163474	26.74034787757315
14	20.193739838201967	0.9528124152055995	20.230736391187296	20.978694137123693	21.5083455057366	19.82634236281188	[16.99110357 16.02257222]	20.110137972063075	20.604715264155494	21.062950387268675
15	25.544363089662017	0.9872253834539464	24.998386344066233	25.77335827007758	27.083121958663515	24.110225778845024	[]	24.994664992372215	25.385872307071907	25.98189037582616
16	20.265645698351218	1.2376575709852098	19.50437976699943	20.475940960222818	21.43999613768566	18.453549250955422	[]	19.802938635762807	19.990160363611125	21.040596206748017
17	20.82689766813006	1.3298740334982142	20.311923561802686	21.355874678098786	22.523466580906238	18.86090894068371	[]	20.090245178018186	20.833899119950736	21.4201192115164
18	20.602672404217746	1.293967845963376	19.99236842691923	21.00813318600048	22.07689880690002	18.92957169544791	[]	20.02169953613302	20.500250806459857	21.315667382096397
19	20.61872780257297	0.8920147234877334	20.609673037292055	21.309904595229924	21.670809409605496	19.504291656769	[18.67466164 18.65285685]	20.320873910102357	20.95978881626099	21.21288863359009
20	21.65128284741492	0.23563335349021486	21.54341445543495	21.728386637924764	22.08845254826604	21.433273585269223	[21.11098679]	21.529171458248243	21.635900546679856	21.764804811738458
