	mean	iqr	cilo	cihi	whishi	whislo	fliers	q1	med	q3
0	24.03130234826854	0.1742209053907402	23.931575069122193	24.068338479853924	24.26262721680655	23.826649203706957	[]	23.958374792727568	23.99995677448806	24.13259569811831
1	25.9286306209973	0.6241146980620762	25.690954950183997	26.180884988162727	26.57650522272332	24.81694372592772	[27.36358376]	25.67206158384805	25.935919969173362	26.296176281910125
2	24.03130234826854	0.1742209053907402	23.931575069122193	24.068338479853924	24.26262721680655	23.826649203706957	[]	23.958374792727568	23.99995677448806	24.13259569811831
3	23.88428472270867	0.29575393003464256	23.789624082936086	24.02179091801328	24.108373821960274	23.632797603219977	[]	23.727169037502946	23.905707500474684	24.02292296753759
4	27.568034925899305	0.8485481035907725	27.273670453175793	27.93978071449455	28.61570917026344	26.015145079274376	[]	27.13802841582241	27.60672558383517	27.986576519413184
5	27.23846805019796	0.8432117969284789	26.89524673309336	27.557167993682214	28.31881396515223	26.239861152768007	[]	26.779660728705522	27.226207363387786	27.622872525634
6	26.544856820501828	0.9141782500543023	26.359932298610925	27.077562224903556	27.233651834485443	25.583070767227444	[]	26.087066687781736	26.71874726175724	27.001244937836038
7	24.000856183377252	0.8929395625760677	23.589249634078747	24.29020719070096	25.06390506317144	23.106969444724516	[]	23.61055761325943	23.939728412389854	24.5034971758355
8	25.700537909985478	0.4125642895793469	25.47160314783542	25.79546611515521	26.06695461521643	25.36659605623713	[]	25.52661521801428	25.633534631495316	25.939179507593625
9	35.84109302317204	0.7832328135610567	35.77316887879943	36.38800663744487	36.62141720468285	34.66875505224242	[]	35.479043027002504	36.08058775812215	36.26227584056356
10	29.12169581812418	0.6557236689078678	28.95327556092268	29.46801864101536	29.76740985822267	28.40955341814537	[]	28.761910002122853	29.21064710096902	29.41763367103072
11	27.268124162560753	0.791550492512517	26.99418225958022	27.615549396202546	28.390519752816765	26.351657596820463	[]	26.858916920507465	27.304865827891383	27.65046741301998
12	27.177142050489323	0.1148195097761402	27.25214484838387	27.34227816355814	27.41939152381873	27.173991509062656	[27.03942399 26.29313505 26.29943481 27.51863525]	27.22802634096363	27.297211505971006	27.34284585073977
13	26.56426950707673	0.3649392732295986	26.355790935365718	26.642268264850955	26.97242756296719	26.27305092376634	[]	26.38065542247022	26.499029600108337	26.74559469569982
14	20.178979725110242	0.7914172979232035	20.372120366411373	20.99338294528109	21.48862412249253	20.00676193120253	[16.85037123 15.77511216]	20.1779633144613	20.682751655846232	20.969380612384505
15	25.539970610658987	0.9455484906596183	25.022218422068438	25.76447398723624	27.064765387448137	23.95759088547924	[]	25.01656680226384	25.39334620465234	25.962115292923457
16	20.1734665831786	0.8834707210189379	19.690548248422314	20.384072764422182	20.907594216757275	19.080695589699243	[]	19.799423803084913	20.037310506422248	20.68289452410385
17	20.842236404900742	1.3687798760727574	20.34751308074141	21.422005283458528	22.504032843873347	18.79369873001043	[]	20.152602645971005	20.88475918209997	21.521382522043762
18	20.570842032973363	0.8573611018076619	20.15457948700714	20.827607951926154	21.43227259372227	19.75682197533108	[]	20.138784175252784	20.491093719466647	20.996145277060446
19	20.67911663882204	0.8363487267063157	20.70541073433944	21.361944484803896	21.662634706562933	19.76850562336584	[18.77607657 18.86257529]	20.399270666043613	21.03367760957167	21.23561939274993
20	21.659810769312312	0.24475307585900197	21.572656642433394	21.76478780698271	22.0025474437082	21.26088307921152	[]	21.530661133403175	21.668722224708052	21.775414209262177
21	20.826676554498277	1.201941385107677	20.294253816302238	21.237777803611763	21.71803758305256	19.725084202292475	[]	20.334388343937867	20.766015809957	21.536329729045544
22	23.748588119271233	0.4366230048814259	23.493109632682167	23.835858691514087	24.19753781783425	23.39587143964684	[]	23.549121643203563	23.664484162098127	23.98574464808499
23	29.103857797980154	0.1594934514813673	29.000542255911615	29.12574461532449	29.39440563834964	28.905929719213773	[]	29.019079989279987	29.063143435618052	29.178573440761355
24	30.19536353333278	0.42879579976545656	30.207178357251582	30.543783060067465	30.865777618915963	29.986747565946747	[28.6820801  28.50973225]	30.152410574715738	30.375480708659524	30.581206374481194
25	23.647267324427823	1.1881171897194918	23.032196789230717	23.96486878316052	25.15706672593641	22.19150725638377	[]	23.147631133194853	23.498532786195618	24.335748322914345
26	35.419469583604986	0.4878789608215186	35.215247451784954	35.59823243602984	36.06246989534341	34.946451304174936	[]	35.18308784192631	35.4067399439074	35.67096680274783
27	22.348074448557472	1.301799602230222	22.073243091821325	23.095155779572046	23.52941998243469	20.418405875902327	[]	21.783518700801636	22.584199435696686	23.08531830303186
28	29.405953221081717	0.7808567681570651	28.996784736004486	29.609757299007782	30.7301395431534	28.404859905983585	[27.71857372 30.9661669 ]	29.011506885885666	29.303271017506134	29.79236365404273
29	28.380894481751017	0.0685442835307093	28.336094608866954	28.389901871438564	28.4915746800442	28.264121203852827	[28.52668224 28.55348125]	28.336095629518447	28.36299824015276	28.404639913049156
30	30.929400718428454	0.1540357150878755	30.89152926632412	31.0124473026681	31.07218699546586	30.72036891074906	[]	30.858685789151828	30.95198828449611	31.012721504239703
31	28.75626219679385	0.49089656978529206	28.715155163562745	29.1005089708442	29.51798714772368	28.455544804563047	[26.7427116  27.85098365]	28.665205934536793	28.907832067203472	29.156102504322085
32	25.91996293314015	0.4102489826484188	25.84128457998984	26.16333003136885	26.34919968117297	25.75412052649717	[25.13403668 24.93686162]	25.79268377169994	26.002307305679345	26.20293275434836
33	23.689417647673896	0.5940713653236784	23.591066526810664	24.057412548589753	24.500498804230634	22.793923969429915	[]	23.370393632569908	23.82423953770021	23.964464997893586
34	27.04732485861428	1.4102189888472374	26.82504447301206	27.93206637925714	28.33475977750841	25.18315599535378	[]	26.258562693895126	27.3785554261346	27.668781682742363
35	26.983826847397786	1.1188493305095761	26.80520499918857	27.68350172363859	28.32003387507444	25.89736315571226	[23.85647719]	26.52377887738615	27.24435336141358	27.642628207895726
36	29.507354195312374	0.10748096210934577	29.466083062134135	29.550455617389975	29.61851925332657	29.278140138152636	[29.72511716 29.72855989]	29.432060456424566	29.508269339762055	29.53954141853391
37	24.845597406176708	0.9636683462274327	24.77217113598754	25.528650787776073	25.651511376745898	23.218065805229948	[]	24.378990984535864	25.150410961881807	25.342659330763297
38	27.478825984258147	0.43313200817072683	27.289095673117032	27.62910429953105	27.774038522965053	27.1641929975195	[]	27.277701978546204	27.45909998632404	27.71083398671693
39	23.17411983322907	0.617269278761416	22.93865592348736	23.42321230731507	23.877461963831948	22.465524218776167	[21.58174985 24.71526088]	22.874351051021268	23.180934115401215	23.491620329782684
40	28.380642231413383	0.32674408766020235	28.19644707654718	28.452941185360437	28.63084012036113	28.17335404690384	[]	28.219825780959905	28.32469413095381	28.546569868620107
41	26.8150354701364	0.4383898549805991	26.653120029263505	26.997256065423272	27.336479530672143	26.33974652752933	[]	26.59847152028089	26.82518804734339	27.036861375261488
42	22.970751230693473	1.4624455948720225	22.70698415018448	23.85500394215902	24.51024911254507	20.905965157670355	[]	22.20197967956462	23.28099404617175	23.664425274436642
43	25.716307960443952	0.18244688658984032	25.640986074545385	25.784206880518408	25.906425009176598	25.480332112215628	[]	25.623013933754375	25.712596477531896	25.805460820344216
44	22.94002044360598	1.2085379496186235	22.443143977876616	23.391846268327235	23.96174967748681	21.89890388472565	[]	22.302171334675364	22.917495123101926	23.510709284293988
