	PC1	PC2	Labels
0	-2.9502268	0.77972746	EXT
1	-2.9197226	0.79049665	EXT
2	-2.8755383	0.78308535	EXT
3	-2.88746	0.7837454	EXT
4	-2.9366715	0.7658965	EXT
5	-2.9802756	0.7500834	EXT
6	-3.3333144	0.5103593	EXT
7	-2.8365543	0.8149191	EXT
8	-4.297404	-4.9979396	QC
9	-4.422181	-4.736494	QC
10	-4.462201	-4.6494927	QC
11	-3.8950298	-4.998877	QC
12	-4.613898	-5.1915536	QC
13	-4.3024945	-5.2121835	QC
14	-3.8700879	-4.6627703	QC
15	-4.2260685	-5.1412635	QC
16	-3.5514898	-6.116357	QC
17	-3.8303804	-4.9046206	QC
18	-3.7717676	-4.7548614	QC
19	-3.719349	-6.0272875	QC
20	-3.8332655	-4.644984	QC
21	-4.1716466	-4.5263505	QC
22	-3.9430013	-5.1207824	QC
23	-4.165831	-4.581607	QC
24	-8.907238	3.091707	control
25	-8.87214	3.2944927	control
26	-9.508712	3.219879	control
27	-8.753376	3.6624384	control
28	-9.893798	3.7298439	control
29	-10.078841	3.2082956	control
30	-8.473659	3.8108366	control
31	-9.521175	3.757075	control
32	-9.189845	3.835187	control
33	-9.396295	3.050561	control
34	-9.1394615	1.8493495	control
35	-9.058163	2.3270123	control
36	-9.28652	3.0328965	control
37	-9.0668	4.14748	control
38	-10.304752	4.396112	control
39	-9.673701	3.7646878	control
40	-8.658938	2.755675	control
41	-8.32976	3.43224	control
42	-8.614161	3.534277	control
43	-8.634164	3.7170482	control
44	-9.340667	3.7208133	control
45	-9.772024	4.329747	control
46	2.7636476	-3.7604299	local
47	2.9040933	-2.2242737	local
48	2.0454454	-3.2613466	local
49	1.8704829	-2.7400064	local
50	3.3928304	-4.322188	local
51	3.7301261	-7.94276	local
52	2.2750783	-4.1560183	local
53	1.5331595	-2.4350617	local
54	2.6495445	-5.9324856	local
55	2.1794796	-3.4735694	local
56	-1.6233935	2.028147	local
57	-1.6232454	2.0602493	local
58	-1.8374766	1.4398713	local
59	-2.8859873	-7.0259414	local
60	3.257507	-2.776466	local
61	-1.7310506	2.2842484	local
62	3.0844285	-3.746582	local
63	3.1912158	-9.849151	local
64	1.4587808	-4.605715	local
65	5.1753373	-6.7265043	local
66	4.709613	-6.5095577	local
67	5.475098	-6.0440936	local
68	1.8967613	-4.2102213	local
69	0.55717343	-5.6842604	onset
70	5.4500937	-4.8932886	onset
71	3.6702764	-6.369773	onset
72	1.3531871	-5.325899	onset
73	3.6291053	-6.121245	onset
74	-1.6482698	0.91555494	onset
75	3.8564634	-7.9576945	onset
76	3.4444737	-5.094973	onset
77	2.7043638	-9.013861	onset
78	2.9911776	-9.942196	onset
79	0.791451	-6.0420437	onset
80	0.63640165	-5.144191	onset
81	3.5323894	-5.9731846	onset
82	2.1733282	-5.8901005	onset
83	-1.618121	0.8452173	onset
84	1.251954	-7.162404	onset
85	1.5341867	-6.281853	onset
86	4.7221565	-7.935073	onset
87	2.9384763	-9.665259	onset
88	4.444936	-7.6749125	onset
89	2.7290025	-8.920777	onset
90	3.0966592	-4.8764772	onset
91	-0.57089823	1.5596353	onset
92	5.489069	-4.3600893	onset
93	-0.2402015	-5.7163496	onset
94	3.50916	-6.8524213	onset
95	3.3705368	-5.7071896	onset
96	-1.4562464	0.90978867	post
97	5.370606	-4.5075583	post
98	0.5271503	-3.6847916	post
99	1.9151956	-8.478983	post
100	3.5226936	-4.480292	post
101	4.5833898	-7.101402	post
102	-1.444934	1.4268805	post
103	4.2408066	-6.107513	post
104	2.3095348	-5.2075963	post
105	1.1977222	-4.3099065	post
106	0.6414232	-5.080117	post
107	5.2323294	-4.2337933	post
108	1.4359409	-3.5365026	post
109	2.7086248	-6.670938	post
110	2.6110787	-5.1064954	post
111	4.7959714	-8.199017	post
112	2.113063	-7.1069894	post
113	1.8776976	-6.6755223	post
114	1.1183453	-3.5587003	post
115	2.1320446	-4.140503	post
116	-1.7387598	1.0540355	post
117	0.9365421	-3.3622885	post
118	2.19978	-4.4367423	post
119	4.8475394	-7.1121955	post
120	-1.2541617	1.5449519	post
121	1.1788297	-3.7794259	post
122	1.1846597	-4.2894354	post
