	PC1	PC2	PC3	Labels
0	-85.92334	152.33675	-58.750187	EXT
1	17.79086	-31.953184	-90.45867	EXT
2	-64.00308	-86.87342	-142.24693	EXT
3	-46.98169	37.417755	-171.18134	EXT
4	32.107204	-66.03663	83.72248	EXT
5	-82.29519	-28.31653	56.560387	EXT
6	-97.09981	-37.917053	-162.34512	EXT
7	35.81055	-123.360535	88.35733	EXT
8	-23.585798	-49.04012	58.2859	QC
9	77.56063	-22.784418	-85.685394	QC
10	-37.3648	-76.661285	-39.45525	QC
11	-2.1479764	-90.1779	3.016657	QC
12	-27.498564	-102.31302	51.088684	QC
13	-42.290684	-124.458115	-72.34859	QC
14	-90.38807	-106.52698	52.23598	QC
15	-84.93793	-135.00107	-19.490335	QC
16	178.96379	104.2901	-3.459702	QC
17	-35.71303	-44.824406	6.8177934	QC
18	-22.32692	-134.27496	-21.03244	QC
19	-50.71667	-151.76498	88.34847	QC
20	-18.043154	178.94038	-63.68563	QC
21	-90.208466	-90.0692	-53.958042	QC
22	-51.341576	-141.24207	23.3522	QC
23	-72.280975	-84.684166	5.49817	QC
24	-135.10004	94.512	71.915146	control
25	-64.91911	133.58896	11.118271	control
26	-143.12222	80.70393	14.572765	control
27	-80.604164	57.31535	71.464195	control
28	-113.97596	32.27488	25.071774	control
29	-119.946686	65.30714	124.99273	control
30	-103.804276	63.73944	-31.891294	control
31	-85.50772	84.44232	23.530481	control
32	-120.373215	136.29593	30.260462	control
33	-41.20145	23.238184	106.30353	control
34	-147.03378	110.227455	-52.93141	control
35	-23.180159	69.06647	55.691547	control
36	-119.100784	18.265434	86.96675	control
37	-167.55995	41.658817	57.670547	control
38	-46.41666	76.08317	-23.438005	control
39	178.26297	-133.23888	10.418878	control
40	-10.819085	108.90111	15.812128	control
41	-47.123558	83.21511	111.695404	control
42	23.130342	-80.202675	-204.77101	control
43	-80.82483	114.708145	75.573616	control
44	26.056103	155.79234	-17.576183	control
45	-56.689053	29.179897	18.53296	control
46	16.534275	33.02207	-8.644389	local
47	-30.601309	2.2984655	-46.370697	local
48	-36.636726	148.80824	129.4299	local
49	83.79914	93.47452	-99.28353	local
50	71.73612	11.508195	-15.600601	local
51	118.53145	32.26313	108.49417	local
52	52.787117	-99.04234	148.19298	local
53	103.04751	117.611305	-42.59936	local
54	92.35556	50.314877	19.961739	local
55	24.927807	86.74404	-135.4569	local
56	29.181057	30.780268	-182.36461	local
57	154.97772	123.423355	-86.44705	local
58	1.9717238	10.385615	-130.61835	local
59	-75.9008	-202.24188	40.70513	local
60	19.368412	-24.941925	-25.255611	local
61	-100.33017	60.277264	-136.08432	local
62	43.969204	-82.86093	-53.417698	local
63	66.01279	-98.92181	30.41883	local
64	-8.172223	-70.601234	136.80333	local
65	135.91974	-20.872955	-31.474318	local
66	159.88045	-0.30447206	-69.702255	local
67	86.6409	-27.819283	61.360737	local
68	37.605274	31.764706	-60.36672	local
69	-121.854	-26.335873	-3.9137685	onset
70	131.5573	-36.276684	103.87601	onset
71	-74.35733	-25.625046	157.03291	onset
72	-14.114957	58.430534	-78.287735	onset
73	-56.58867	106.03732	-103.32452	onset
74	77.82911	-41.88122	139.6032	onset
75	187.84718	-65.46412	-35.76022	onset
76	-164.11267	-52.55056	-65.199684	onset
77	-53.372578	-200.81369	-55.73939	onset
78	24.46703	-181.62227	-64.86799	onset
79	-95.547325	-14.225873	-48.644417	onset
80	90.24505	33.49822	-128.60924	onset
81	118.525055	-70.967896	-74.28526	onset
82	21.760862	-1.744929	51.074448	onset
83	-55.816116	6.001263	-113.185875	onset
84	132.51785	86.14044	65.54113	onset
85	-159.97049	-71.56773	9.07015	onset
86	126.02255	-104.66944	58.545765	onset
87	196.95694	26.16848	66.168976	onset
88	-159.35764	-53.04416	80.91087	onset
89	-174.69307	30.367193	-70.45889	onset
90	80.47058	-131.60434	-65.53233	onset
91	73.395706	-85.674805	-141.93025	onset
92	38.973495	12.569041	112.84664	onset
93	-126.31439	-15.110085	-100.96021	onset
94	-190.40558	-3.1794024	-3.5087063	onset
95	112.15621	-106.930695	-22.775206	onset
96	-33.083134	-46.794003	-108.48142	post
97	53.858044	12.413425	173.09776	post
98	73.3163	121.844406	28.936926	post
99	82.96616	79.395035	144.10585	post
100	110.752106	48.743008	-51.324646	post
101	85.403725	-48.42125	-5.5590963	post
102	-59.890057	51.764153	182.70523	post
103	136.762	0.36927813	38.970623	post
104	48.84638	53.125843	56.928123	post
105	15.953877	-178.13786	52.231342	post
106	16.011456	109.01227	-74.69377	post
107	45.592785	179.0772	52.35007	post
108	22.975971	143.39561	115.99416	post
109	153.64636	40.336227	-5.27065	post
110	-181.27704	-80.530106	230.73676	post
111	191.92206	-46.642418	19.572882	post
112	111.75919	147.63567	79.85616	post
113	-151.34245	-120.26545	10.794902	post
114	52.13875	-158.04756	2.7126696	post
115	-26.110727	-28.390127	-178.22055	post
116	3.53473	-82.88867	-128.35555	post
117	38.54167	109.84362	81.75454	post
118	-65.175156	-70.04172	109.624504	post
119	127.48356	-51.30517	22.2742	post
120	42.63849	-27.21536	-153.50458	post
121	-15.261474	157.25983	60.720943	post
122	44.1859	84.94633	-29.991272	post
