	PC1	PC2	Labels
0	-3.0145411	5.3439035	EXT
1	-2.9680307	5.367783	EXT
2	-2.9293795	5.3523564	EXT
3	-2.9289901	5.3728385	EXT
4	-2.940029	5.45506	EXT
5	-2.9757307	5.491877	EXT
6	-3.1503139	5.9241548	EXT
7	-2.927589	5.2895365	EXT
8	-3.2998474	-4.76808	QC
9	-3.3152175	-4.6312265	QC
10	-3.4352767	-4.490115	QC
11	-3.4686375	-4.715242	QC
12	-3.6417937	-5.7003746	QC
13	-3.112814	-5.0968733	QC
14	-3.7949343	-5.030621	QC
15	-3.246611	-5.029685	QC
16	-4.9529634	-5.633644	QC
17	-3.6982954	-5.1561174	QC
18	-3.8808324	-4.8785977	QC
19	-4.818992	-5.6480575	QC
20	-3.872523	-4.902982	QC
21	-3.7659547	-4.629244	QC
22	-3.2718697	-5.175514	QC
23	-3.7225869	-5.255946	QC
24	4.493637	9.339448	control
25	4.4745483	9.109666	control
26	3.8913977	9.252434	control
27	4.6115646	8.76043	control
28	3.4238358	8.908622	control
29	3.3312633	9.232869	control
30	4.798987	8.458256	control
31	3.896239	8.681551	control
32	4.1767607	8.464985	control
33	3.9847772	9.526198	control
34	4.0838394	10.524668	control
35	4.280257	10.132847	control
36	3.9350722	9.376357	control
37	4.1490893	8.270401	control
38	3.3502083	7.8885956	control
39	3.66447	8.761951	control
40	4.6386943	9.659128	control
41	5.0897326	9.04559	control
42	4.721067	8.8637295	control
43	4.7684464	8.605488	control
44	4.0396066	8.710094	control
45	3.3438215	8.459773	control
46	-7.3071637	0.07032827	local
47	-6.0828695	0.86623394	local
48	-7.064453	1.098188	local
49	-7.711552	0.2138138	local
50	-9.238683	-0.5902836	local
51	-11.196232	-1.7051517	local
52	-8.834722	0.28846467	local
53	-7.6801147	2.4468331	local
54	-9.639236	-1.1281793	local
55	-7.3449125	0.8959199	local
56	-2.9320853	3.6682222	local
57	-2.9298055	3.599674	local
58	-2.43667	4.117129	local
59	-7.6722927	-5.9541106	local
60	-6.228807	-0.019043297	local
61	-3.1147492	3.4912803	local
62	-6.9868846	0.14770369	local
63	-8.562134	-5.7462482	local
64	-8.647228	1.041718	local
65	-10.366728	-2.9134264	local
66	-10.009249	-2.5561614	local
67	-9.973817	-3.3192348	local
68	-8.294129	0.7531148	local
69	-9.873392	1.5870582	onset
70	-7.786084	-3.0335443	onset
71	-9.059733	-2.055415	onset
72	-9.336741	1.0163105	onset
73	-9.145734	-1.7659605	onset
74	-2.026063	4.552293	onset
75	-11.252357	-1.7407655	onset
76	-8.007988	-0.84274393	onset
77	-9.036823	-4.941164	onset
78	-8.432349	-5.7920113	onset
79	-7.0939274	-1.033471	onset
80	-9.375796	1.6191485	onset
81	-8.626929	-2.099883	onset
82	-7.4698906	-1.9124873	onset
83	-2.009471	4.2720904	onset
84	-11.005919	0.53900933	onset
85	-10.095858	0.2556142	onset
86	-11.264742	-2.5617797	onset
87	-8.488028	-5.643489	onset
88	-11.049423	-2.2229936	onset
89	-9.07797	-4.8555408	onset
90	-7.7931013	-0.8098144	onset
91	-1.813045	3.5087028	onset
92	-7.2165537	-2.9039242	onset
93	-6.3245187	-1.0683405	onset
94	-10.110573	-1.4538015	onset
95	-8.460632	-1.5239719	onset
96	-1.7940301	4.5167184	post
97	-7.4960732	-2.921171	post
98	-8.364956	2.0543523	post
99	-9.946893	-4.909909	post
100	-9.545238	-0.45716384	post
101	-10.39257	-2.4559531	post
102	-2.5484526	4.2978144	post
103	-9.393771	-2.464488	post
104	-8.495477	-0.29132366	post
105	-8.643924	1.3855098	post
106	-9.54299	1.6956358	post
107	-7.2317815	-2.5908208	post
108	-7.556007	1.4126337	post
109	-10.130906	-0.56402194	post
110	-8.598096	-0.531966	post
111	-11.613928	-2.3132741	post
112	-10.683891	0.050770108	post
113	-10.440609	0.010643015	post
114	-7.9209733	1.8011957	post
115	-8.037475	0.5358919	post
116	-2.175202	4.4894705	post
117	-7.2109337	1.7357606	post
118	-8.08797	0.33823952	post
119	-10.285286	-2.7805164	post
120	-2.4015877	3.8983755	post
121	-8.143573	1.5231414	post
122	-8.290403	1.2123473	post
