	PC1	PC2	PC3	Labels
0	-69.41074	127.11111	29.642195	EXT
1	-64.239586	76.61906	11.914371	EXT
2	-47.050724	85.09204	56.87205	EXT
3	-75.92002	60.201874	90.625854	EXT
4	-79.216805	116.5225	82.15622	EXT
5	-106.363396	85.22212	46.074333	EXT
6	-80.26665	35.49927	44.273727	EXT
7	16.093208	-143.19714	-95.440125	EXT
8	67.35023	-88.32527	14.033446	QC
9	80.55329	77.56241	43.652523	QC
10	131.89064	57.878983	21.609673	QC
11	71.28381	48.8234	0.8888689	QC
12	128.07904	75.53206	84.10018	QC
13	63.92265	-11.935354	83.82314	QC
14	65.732216	-44.909084	44.348595	QC
15	102.285995	11.405375	19.115614	QC
16	55.27825	-19.676529	-5.394318	QC
17	116.7069	-28.593143	53.40658	QC
18	63.252987	44.87293	82.2323	QC
19	103.57628	-36.867104	-12.047904	QC
20	46.585476	17.094492	39.43186	QC
21	-98.752945	-9.216325	12.7790785	QC
22	50.21624	-143.75983	15.479442	QC
23	113.81141	22.758005	70.08431	QC
24	-108.288445	-73.162415	135.99722	control
25	-54.271748	-88.19848	126.89004	control
26	-111.585175	-112.566574	87.854866	control
27	-59.76446	-48.26343	39.756622	control
28	-31.971169	-129.81807	28.720343	control
29	-95.387215	-150.26428	18.520285	control
30	-36.874454	-25.123777	81.18976	control
31	-45.665077	-93.3516	74.08029	control
32	-87.18207	-59.310005	84.74501	control
33	-69.523766	-148.70831	76.517715	control
34	-138.82841	-19.859785	95.31556	control
35	-95.24055	-132.19122	141.98434	control
36	-3.6519938	-133.4025	78.04738	control
37	5.693079	-71.38393	83.9527	control
38	-7.3899508	-70.03914	24.99398	control
39	-128.85594	-73.73402	49.451183	control
40	-38.80067	-145.93097	126.063065	control
41	-124.747856	137.3984	-110.42703	control
42	-19.651112	-46.86437	128.77882	control
43	-70.1023	-25.357811	128.82175	control
44	-81.317215	-98.724594	35.27367	control
45	10.469613	-104.22232	134.80591	control
46	-98.852165	-34.378967	-123.31416	local
47	-117.17081	62.255383	-108.371895	local
48	-76.99967	104.268394	-52.68957	local
49	-8.252332	31.05809	-86.70071	local
50	57.068142	83.980286	-64.44862	local
51	70.75936	10.887538	-183.01689	local
52	15.353609	66.94457	-33.88022	local
53	-10.59326	-13.561097	-111.91538	local
54	57.32095	97.48955	-122.67404	local
55	-48.151276	-13.665368	-31.941145	local
56	-19.722486	-107.33207	-141.98251	local
57	5.1276264	112.05819	54.339546	local
58	-137.6315	56.94031	96.83395	local
59	187.06775	2.2028248	10.0835495	local
60	-7.2672954	81.07128	-126.5226	local
61	-108.53016	104.48508	139.89018	local
62	-95.72723	-53.228813	-61.433987	local
63	182.11676	-66.12203	45.67843	local
64	80.47426	3.8118355	185.42339	local
65	78.61426	-103.498764	-137.40544	local
66	-145.77202	72.9342	-36.993374	local
67	55.164726	161.7784	-44.169815	local
68	-2.0261111	98.174255	-75.20905	local
69	148.93907	71.376816	-59.018158	onset
70	4.794595	-33.532543	-191.73448	onset
71	101.39826	43.85867	-126.34271	onset
72	53.64306	-65.917305	-56.91128	onset
73	48.171818	36.815075	-125.573425	onset
74	3.8832774	-122.66972	-37.880615	onset
75	106.56658	120.11498	-25.721392	onset
76	0.118013896	31.963488	-149.61647	onset
77	167.38457	-63.11967	-18.344498	onset
78	-7.5992217	146.26717	-154.40144	onset
79	-63.50857	96.72108	-118.86056	onset
80	71.54464	147.2423	62.696007	onset
81	27.372467	-16.164421	169.69966	onset
82	143.64833	-12.370403	129.0675	onset
83	-12.354829	39.229053	70.48708	onset
84	80.70281	38.175663	141.91742	onset
85	90.946556	-51.301617	136.8897	onset
86	123.79739	104.56793	-117.47938	onset
87	126.50193	-22.44686	-153.07774	onset
88	-175.42148	16.252666	-13.929103	onset
89	140.30424	-85.62394	-42.628452	onset
90	42.87297	7.3616757	-67.26846	onset
91	-129.86293	151.70084	40.455585	onset
92	-22.706047	178.75832	-34.077984	onset
93	44.139133	83.06862	-190.50774	onset
94	-143.82048	-32.06344	-26.587425	onset
95	91.79556	26.378206	-70.284096	onset
96	-10.098784	38.96776	131.8767	post
97	-163.7741	-78.631386	-75.35251	post
98	1.1508076	173.5899	84.85274	post
99	134.99089	-120.40082	6.326692	post
100	36.24944	-45.810337	-127.75086	post
101	-119.20293	20.599339	-48.250435	post
102	-58.584812	-70.11795	-169.34097	post
103	94.48223	-22.896193	-94.91681	post
104	-68.05604	26.385866	-151.49425	post
105	-36.63384	-60.23794	-89.87307	post
106	95.73199	-105.52783	85.38216	post
107	-10.9363985	127.9247	-13.172618	post
108	157.7672	-2.7952597	-67.53058	post
109	-69.58712	8.736197	-85.73065	post
110	-151.93428	-1.2119241	-104.47963	post
111	143.63034	-80.01017	-115.43065	post
112	-56.90658	45.453297	-43.6246	post
113	-60.98518	-137.20868	-56.376583	post
114	4.2383327	-37.32625	-50.745808	post
115	-2.217074	294.54446	-139.26643	post
116	-8.243903	87.453476	105.54636	post
117	-94.060425	-110.61165	-107.76163	post
118	-24.80067	-284.95963	-141.19836	post
119	91.1856	-112.52791	-82.2722	post
120	-51.871544	78.66974	145.94038	post
121	-38.4005	-68.09667	-38.538708	post
122	-4.190003	18.452938	-9.464341	post
