	PC1	PC2	Labels
0	-3.428824	-0.79547304	EXT
1	-3.434083	-0.8338224	EXT
2	-3.4355621	-0.87467504	EXT
3	-3.419375	-0.8700598	EXT
4	-3.3692296	-0.83108413	EXT
5	-3.3293478	-0.7745994	EXT
6	-3.007742	-0.4312769	EXT
7	-3.4823945	-0.9009853	EXT
8	-3.2148528	4.949479	QC
9	-3.1601758	4.9456573	QC
10	-3.2214031	4.7663136	QC
11	-3.5063488	4.8426456	QC
12	-3.2101529	5.702939	QC
13	-3.054772	5.1790867	QC
14	-3.6464336	5.2419515	QC
15	-3.1654143	5.1916285	QC
16	-4.3493404	6.14864	QC
17	-3.5264182	5.353197	QC
18	-3.7487693	5.133324	QC
19	-4.181246	6.126523	QC
20	-3.7445288	5.1212745	QC
21	-3.6644635	4.872853	QC
22	-3.5845032	4.824408	QC
23	-3.4432335	5.405943	QC
24	1.8218662	-4.6344814	control
25	1.9574566	-4.4148517	control
26	2.2916093	-4.978201	control
27	2.1318583	-4.1414804	control
28	2.796536	-5.2250047	control
29	3.0002837	-3.829489	control
30	2.1084228	-3.8023596	control
31	2.7865467	-4.5041184	control
32	2.563501	-4.537917	control
33	2.1228988	-5.0236783	control
34	1.2505637	-5.652394	control
35	1.5173974	-5.3170915	control
36	2.0033627	-4.8180976	control
37	2.7727432	-4.2493196	control
38	3.7299564	-4.589595	control
39	2.788917	-4.88061	control
40	1.592814	-4.8503327	control
41	1.5936612	-4.0962467	control
42	2.027756	-4.1302013	control
43	2.1376133	-3.9692883	control
44	2.6340816	-4.417347	control
45	3.071157	-5.1943135	control
46	-8.223768	3.492106	local
47	-7.3931994	2.0738368	local
48	-9.134356	2.2980945	local
49	-8.354584	1.8760148	local
50	-10.637518	3.7711568	local
51	-11.166953	6.6731954	local
52	-9.8342705	2.9064703	local
53	-8.958004	1.1902108	local
54	-10.276855	4.663932	local
55	-8.515883	2.5944972	local
56	-4.817338	-2.116844	local
57	-4.874637	-2.150259	local
58	-4.3791676	-1.5634433	local
59	-7.207478	7.607393	local
60	-7.305914	2.7967143	local
61	-4.9706297	-2.3269787	local
62	-9.051652	3.9160888	local
63	-8.750773	8.196847	local
64	-8.905065	3.1468725	local
65	-12.202803	5.0503225	local
66	-11.852393	5.0044327	local
67	-12.70907	5.0826783	local
68	-8.78084	3.0886085	local
69	-7.9635267	4.644215	onset
70	-12.855671	3.7054791	onset
71	-10.495836	5.5110617	onset
72	-8.649082	4.08181	onset
73	-10.693599	5.2443666	onset
74	-3.9089172	-1.8820144	onset
75	-11.359412	6.703421	onset
76	-10.041902	4.3492002	onset
77	-9.144444	7.306322	onset
78	-8.627878	8.163192	onset
79	-8.352673	4.984244	onset
80	-8.005862	3.8905513	onset
81	-10.28053	5.217267	onset
82	-9.300197	5.308679	onset
83	-3.9707012	-1.9705737	onset
84	-11.061907	1.7012321	onset
85	-8.855187	4.9290833	onset
86	-12.067069	6.581619	onset
87	-8.646696	7.877478	onset
88	-11.949378	6.3048906	onset
89	-9.230787	7.2226057	onset
90	-9.569955	4.291096	onset
91	-5.2392197	-1.1337963	onset
92	-12.934078	3.2307515	onset
93	-7.2385306	4.5326495	onset
94	-11.431359	4.491335	onset
95	-9.930931	4.9608846	onset
96	-3.8661177	-2.1483264	post
97	-12.6444	3.2478573	post
98	-9.808376	1.5962772	post
99	-9.908438	7.2515154	post
100	-10.6541605	3.2932131	post
101	-11.934177	5.704037	post
102	-4.453404	-1.3912021	post
103	-11.154244	4.9912047	post
104	-9.855274	3.7160563	post
105	-8.594367	2.9332926	post
106	-7.969581	3.9150567	post
107	-12.428689	2.8866854	post
108	-9.64882	2.2881591	post
109	-11.164149	3.2647722	post
110	-9.95446	3.7732623	post
111	-12.322878	6.8546004	post
112	-11.344502	2.3263946	post
113	-10.93541	2.7745826	post
114	-9.296738	1.8901385	post
115	-9.58857	2.902448	post
116	-3.9929752	-1.8149174	post
117	-10.033779	2.0527036	post
118	-9.41318	3.2794693	post
119	-12.238603	5.6855693	post
120	-4.734513	-1.5109278	post
121	-9.052102	2.2394297	post
122	-8.617891	2.7439132	post
