	PC1	PC2	PC3	Labels
0	99.295105	7.880358	-5.0395503	EXT
1	8.878264	-138.81714	-66.35307	EXT
2	74.24291	31.557322	-40.69028	EXT
3	-35.693134	-18.48485	-183.09604	EXT
4	58.130707	31.066423	17.358362	EXT
5	24.001528	27.369202	-20.15597	EXT
6	154.1378	17.083227	-4.317285	EXT
7	-49.497444	-103.42781	72.39429	EXT
8	50.205067	-37.74473	113.69314	QC
9	81.799255	143.33115	-82.62774	QC
10	-81.825325	-36.66186	97.851074	QC
11	-60.06245	15.040534	131.62085	QC
12	-5.4538136	-29.418499	25.039045	QC
13	2.805377	20.283117	70.87637	QC
14	-16.90167	-41.210873	83.84397	QC
15	-57.350197	-35.085037	47.501114	QC
16	53.02671	23.94764	111.989746	QC
17	-44.51991	-38.468216	136.44757	QC
18	-37.23128	17.869505	30.05252	QC
19	20.4992	-33.03138	-156.1131	QC
20	-4.5100737	2.5401306	123.46344	QC
21	-49.170937	7.4923234	81.42291	QC
22	31.294453	-24.306679	65.524345	QC
23	4.2858706	-58.038105	130.81415	QC
24	79.58955	140.46727	68.77177	control
25	38.216408	-66.11389	-101.454056	control
26	-67.71794	120.767395	43.384464	control
27	29.739275	125.67618	43.62364	control
28	-15.603173	154.1585	132.2438	control
29	-77.780266	136.10304	107.70168	control
30	-5.4688606	81.688286	35.921806	control
31	7.7159553	102.135544	102.3574	control
32	55.530777	-24.307716	-61.084305	control
33	-17.446617	145.6355	17.587128	control
34	-23.858334	80.57759	168.7087	control
35	31.63483	85.20428	157.79279	control
36	-136.34439	-141.47836	59.14165	control
37	26.200523	40.817127	-193.02379	control
38	108.43364	83.721924	102.72897	control
39	21.6276	170.7073	87.05508	control
40	59.20282	130.51259	126.168884	control
41	-46.45387	78.78972	90.69683	control
42	42.658337	-176.75243	52.65785	control
43	49.40717	81.15739	67.34466	control
44	-21.482986	134.58752	75.43716	control
45	-39.482742	190.50099	63.092247	control
46	-57.908604	-166.74289	44.412327	local
47	-118.36041	101.67178	-34.8063	local
48	115.71038	-57.26504	-101.01005	local
49	91.410995	14.399647	-112.72069	local
50	-76.95176	-156.8475	-15.704343	local
51	-98.5764	-89.66733	13.836836	local
52	-128.75255	8.429269	84.5334	local
53	90.73463	-23.631124	-161.60603	local
54	-55.459377	-62.13341	-16.587145	local
55	-92.57685	0.39832336	-14.356708	local
56	72.60673	-142.98228	-95.560165	local
57	95.1141	-140.62817	2.6159434	local
58	111.56475	75.65867	9.28589	local
59	-109.34869	52.36708	31.606401	local
60	-67.129585	63.53561	-19.527529	local
61	121.67799	72.539116	-66.259926	local
62	-154.59607	37.04292	-31.989965	local
63	0.41653338	-106.98288	31.9145	local
64	-26.838991	65.82517	-67.37735	local
65	-24.879126	-113.94621	171.4269	local
66	-67.35285	12.734589	-74.419716	local
67	-53.690144	27.09021	-133.60966	local
68	149.21278	37.132088	57.304295	local
69	-153.42763	-55.377407	-118.18205	onset
70	-111.86166	49.698833	166.1373	onset
71	64.274025	84.13662	-137.61859	onset
72	-9.2343645	-71.4571	-50.403564	onset
73	-117.48284	-108.88035	-43.294025	onset
74	59.76691	-175.70824	-36.379658	onset
75	-133.17027	-60.736877	-12.6585	onset
76	141.66628	27.356949	-123.37088	onset
77	-168.28604	10.70205	29.186512	onset
78	-85.90432	139.51799	-109.754456	onset
79	5.1983395	190.24509	-37.194237	onset
80	-102.82166	-47.259647	-77.89652	onset
81	33.838615	-10.834224	185.79997	onset
82	-18.39002	-14.014287	-48.576447	onset
83	46.107674	73.49149	-69.19366	onset
84	67.12327	-118.85895	148.13905	onset
85	-37.660072	-53.586163	-98.79631	onset
86	-198.55043	-65.965515	23.43225	onset
87	49.187	-97.349884	53.111465	onset
88	-134.30814	33.023167	-154.35928	onset
89	96.73623	-108.5501	81.94676	onset
90	-8.097416	-166.55412	-6.260518	onset
91	166.5098	100.9079	-17.477116	onset
92	-137.82124	-128.2281	-102.77952	onset
93	-150.37349	-13.493929	-69.230896	onset
94	-63.56161	-102.75988	-57.574512	onset
95	75.491264	-91.28574	-47.890926	onset
96	23.708855	18.47426	-95.37245	post
97	21.67941	-116.71182	-158.08032	post
98	118.74102	-67.023056	18.165215	post
99	-160.13678	87.227745	61.89356	post
100	102.85534	-11.4280405	65.550446	post
101	-110.728966	45.368053	-101.630424	post
102	-94.5406	-114.86577	122.7224	post
103	9.814997	133.23428	-132.64227	post
104	172.18994	-0.6781975	-69.80277	post
105	66.97902	153.84908	-14.680662	post
106	112.44226	7.961569	151.30518	post
107	-22.53427	-104.8546	-139.6493	post
108	-0.82776064	118.95653	-57.766678	post
109	9.036055	-134.49019	100.86517	post
110	35.13501	-87.66884	-15.373388	post
111	-141.88803	-58.973545	43.283653	post
112	163.69252	-107.83793	-2.9369075	post
113	-60.7978	-139.34125	-102.05665	post
114	178.632	-41.453804	20.717653	post
115	65.1952	-43.07857	4.497913	post
116	118.233246	-155.09915	-52.961536	post
117	128.80597	-46.58557	-39.73796	post
118	140.9837	-54.770916	70.48502	post
119	-96.99071	-3.940838	-131.4526	post
120	67.00103	90.60993	-16.468859	post
121	-55.38999	126.41426	-42.435543	post
122	-7.3862104	70.79114	-125.527626	post
