	PC1	PC2	Labels
0	1.2047106	6.949144	EXT
1	1.1136475	6.8990426	EXT
2	1.2154789	6.9606786	EXT
3	1.1491166	6.9278336	EXT
4	1.0895189	6.8877897	EXT
5	1.2904975	6.8430114	EXT
6	1.237013	6.4942417	EXT
7	1.1738693	6.953295	EXT
8	3.2618546	6.012344	QC
9	3.1710029	6.162583	QC
10	3.1682978	6.2867036	QC
11	2.9860048	6.172802	QC
12	3.042496	5.0672584	QC
13	3.3022106	5.5010004	QC
14	2.694825	5.7754836	QC
15	3.2463422	5.653089	QC
16	4.4990225	6.041139	QC
17	2.7632155	5.5899773	QC
18	2.675956	5.701239	QC
19	4.3611655	5.871838	QC
20	2.668943	5.8361325	QC
21	2.9315927	6.2157207	QC
22	3.2647352	5.5936375	QC
23	2.724776	5.475923	QC
24	-3.5149355	0.5157027	control
25	-3.6358066	0.26561773	control
26	-4.022701	0.8818692	control
27	-3.8255928	-0.014167532	control
28	-4.520861	1.069543	control
29	-4.7858133	-0.27835545	control
30	-3.7392812	-0.3609633	control
31	-4.5424914	0.37206197	control
32	-4.2918677	0.34453648	control
33	-3.85065	0.8757495	control
34	-2.8759913	1.7085791	control
35	-3.1673326	1.2827566	control
36	-3.733303	0.7411704	control
37	-4.432776	0.03360585	control
38	-5.486179	0.564076	control
39	-4.5223737	0.75122535	control
40	-3.100997	0.63451743	control
41	-3.3173544	-0.12465666	control
42	-3.6777918	-0.057786074	control
43	-3.8235135	-0.20335338	control
44	-4.358985	0.2965557	control
45	-4.8725195	1.1083578	control
46	4.280062	11.357904	local
47	2.8287306	10.166576	local
48	2.7682781	11.514608	local
49	2.1476715	11.494883	local
50	4.7165637	13.083547	local
51	6.963791	15.040844	local
52	3.7373152	12.644244	local
53	1.6493019	11.850956	local
54	5.0247717	13.563206	local
55	3.2406414	11.359236	local
56	-1.007488	7.1517487	local
57	-1.020402	7.1221743	local
58	-0.71324456	7.6981316	local
59	5.3534923	6.402124	local
60	3.500571	10.218802	local
61	-0.9860065	6.805167	local
62	3.8349025	11.224255	local
63	5.150371	18.033821	local
64	3.9174752	12.149467	local
65	5.2417545	15.967198	local
66	5.0391154	15.641329	local
67	3.672064	16.177864	local
68	3.735257	11.988659	local
69	5.574694	11.563014	onset
70	2.464798	15.786825	onset
71	4.426428	15.166539	onset
72	4.791114	12.245583	onset
73	4.587785	14.729423	onset
74	-0.13335165	7.847864	onset
75	6.9225507	15.141363	onset
76	3.9455347	14.012316	onset
77	4.632332	17.242374	onset
78	4.9893394	18.148066	onset
79	5.8676753	11.813054	onset
80	4.9717765	11.414528	onset
81	3.96697	15.024518	onset
82	2.8145032	14.584333	onset
83	0.044263702	7.6187196	onset
84	6.682955	12.918934	onset
85	5.77564	12.744356	onset
86	6.436379	16.082247	onset
87	4.889649	17.848541	onset
88	6.287441	15.603623	onset
89	4.679642	17.154846	onset
90	3.315398	13.893346	onset
91	-1.5533987	8.3775625	onset
92	1.9696809	15.618223	onset
93	5.5829153	10.597334	onset
94	5.4754524	14.735342	onset
95	4.164484	14.568397	onset
96	-0.42923278	8.188932	post
97	2.1203127	15.468865	post
98	2.1683533	12.594442	post
99	7.7871	14.320296	post
100	4.3796678	13.488781	post
101	5.6523213	15.662125	post
102	-0.9605242	7.9689918	post
103	4.571732	15.371402	post
104	3.8432143	13.376968	post
105	3.465758	11.940109	post
106	4.939124	11.470769	post
107	1.969758	15.132234	post
108	2.6126368	12.717135	post
109	5.5056715	14.068035	post
110	3.9743176	13.451266	post
111	6.9217668	15.842197	post
112	6.208879	13.72199	post
113	5.935813	13.267811	post
114	2.5141885	12.264184	post
115	3.2734303	12.726508	post
116	-0.38488534	7.8389087	post
117	2.197758	13.120221	post
118	3.4329097	12.799018	post
119	5.616097	15.880913	post
120	-1.0923963	7.907289	post
121	2.7476346	12.171122	post
122	3.3679614	11.916677	post
