	PC1	PC2	PC3	Labels
0	-19.187681	-23.765055	-24.930124	EXT
1	-53.109776	-31.434904	-65.292625	EXT
2	-4.9480863	6.5429873	-62.53175	EXT
3	32.08312	-34.8756	-46.22272	EXT
4	29.807217	-14.716715	-1.6260605	EXT
5	30.028408	26.72509	-31.010244	EXT
6	-109.43356	-59.93534	-50.41781	EXT
7	-6.002772	-45.20736	-75.52128	EXT
8	-178.7819	-13.388792	-46.901756	QC
9	-194.16518	51.2658	-31.190004	QC
10	7.7894783	-100.63178	-52.055458	QC
11	-105.26807	-19.373838	26.758554	QC
12	0.0786662	121.78543	45.444798	QC
13	-56.645695	-129.28914	10.061975	QC
14	-35.932793	-157.83524	-38.513542	QC
15	-28.533583	-124.83652	-85.630974	QC
16	-153.5599	11.529939	66.39109	QC
17	-71.42403	-52.220673	-7.2720795	QC
18	-28.794662	-86.17734	-13.765087	QC
19	-170.09601	-31.43251	30.737055	QC
20	25.889854	-154.16014	-43.721573	QC
21	32.79044	-94.59253	-1.969664	QC
22	-66.57046	-106.18813	-47.472416	QC
23	-1.4857451	-136.30411	2.6963947	QC
24	-69.60062	102.981285	-20.602444	control
25	-123.417274	130.98125	-4.049517	control
26	-72.573326	39.607746	-96.81213	control
27	-120.4435	88.06355	-34.632248	control
28	-115.291176	76.92611	31.621328	control
29	-88.48413	89.680725	-128.63354	control
30	-126.767685	7.6300087	-85.87996	control
31	-90.464165	26.317873	-43.945564	control
32	-123.14075	65.26463	-80.907715	control
33	-78.68368	159.35115	-29.664907	control
34	29.617855	114.4834	-105.21198	control
35	90.25717	-113.7354	-103.62116	control
36	-75.55996	124.563385	29.19392	control
37	-24.373167	136.04593	-14.975414	control
38	-23.275452	70.56361	-114.824135	control
39	-130.12064	38.325565	-12.200027	control
40	-45.12662	60.783924	-50.708885	control
41	-38.687347	143.39362	-74.21109	control
42	-73.937775	103.7456	-72.03783	control
43	-119.90535	126.86007	-72.10701	control
44	-75.58908	53.214413	-2.0298285	control
45	-0.67749715	95.2041	-52.902374	control
46	-116.08007	-160.11153	-5.0523176	local
47	104.87514	-21.014973	-159.337	local
48	86.813515	-157.53032	65.07737	local
49	70.95425	148.86958	-56.45409	local
50	148.6895	-11.918926	27.940874	local
51	145.30783	-79.42231	11.0443125	local
52	-71.66474	46.309658	113.704994	local
53	122.494156	136.6485	-16.841536	local
54	189.12654	-35.783607	-5.829992	local
55	68.2087	85.23717	10.586366	local
56	31.636583	8.763233	-110.77457	local
57	-63.25504	158.23244	-136.49379	local
58	-53.880466	24.5535	56.358997	local
59	-111.08376	-141.4528	82.35329	local
60	25.323235	-21.979786	-191.01225	local
61	-1.861724	61.28455	7.309116	local
62	115.943306	59.18926	-21.02273	local
63	21.744524	-130.29082	74.21095	local
64	10.868828	-42.287556	94.25955	local
65	124.40114	-140.6444	-21.10961	local
66	145.2106	-100.39205	-47.014793	local
67	105.612175	-29.977827	70.602776	local
68	78.87923	21.21464	33.011017	local
69	63.829475	118.5673	146.43776	onset
70	84.67827	-4.882321	133.48653	onset
71	-11.738339	-72.81161	-143.66103	onset
72	-76.47495	-44.43932	-141.08861	onset
73	-23.623428	-4.311565	126.71285	onset
74	73.18326	13.458404	-67.46884	onset
75	29.707811	-136.23976	-134.6764	onset
76	-22.870378	14.291606	-161.94241	onset
77	24.636854	-105.0884	139.52222	onset
78	-9.412831	-173.72916	78.55267	onset
79	-74.25337	-50.611195	163.36974	onset
80	-120.59963	4.3913026	-158.35533	onset
81	31.889969	-65.21832	-130.7527	onset
82	161.75374	4.213455	-69.96366	onset
83	-53.693764	-30.730675	65.43167	onset
84	81.030525	145.41093	74.126076	onset
85	-95.4744	-65.354515	118.280495	onset
86	168.70819	-89.9999	74.53269	onset
87	29.866947	63.293594	70.51	onset
88	62.30319	41.768333	-162.10516	onset
89	58.195415	-80.361336	119.720406	onset
90	87.01245	81.57603	-66.73743	onset
91	-5.072948	-53.13982	34.83389	onset
92	75.99409	29.736242	177.89102	onset
93	-122.41371	-2.538438	142.39476	onset
94	-36.075336	27.366447	173.45726	onset
95	134.59758	-46.335922	117.631744	onset
96	-67.794136	-84.44048	55.55028	post
97	83.458305	40.717297	117.406815	post
98	-29.652922	85.64564	90.671814	post
99	-32.41552	-108.06375	122.66612	post
100	115.312935	-7.0486665	-16.773943	post
101	9.859463	-20.531805	176.70763	post
102	-17.874973	5.0483813	23.682487	post
103	102.102684	-93.32241	58.104076	post
104	130.34953	93.61279	103.27531	post
105	106.40227	69.83233	44.16782	post
106	46.753853	161.7476	13.178654	post
107	40.66756	47.470634	135.03001	post
108	53.141197	-51.215412	55.329178	post
109	-20.86433	71.72276	154.80962	post
110	88.34148	-129.5603	142.30661	post
111	68.96357	-53.255547	193.53577	post
112	135.17735	66.98565	-118.95036	post
113	26.79943	102.188705	-170.94252	post
114	35.94858	2.099268	72.3269	post
115	139.12817	28.900095	68.529236	post
116	-118.02077	-83.39838	30.213882	post
117	175.5689	55.74805	12.527177	post
118	-209.71193	-43.4787	-144.8	post
119	0.6926973	140.82117	117.42945	post
120	84.79272	-38.79151	-91.93992	post
121	-107.10522	-105.60841	-106.30321	post
122	86.49377	-65.890175	-27.278486	post
