	PC1	PC2	Labels
0	1.6118758	5.404726	EXT
1	1.6059698	5.399441	EXT
2	1.6280965	5.4101796	EXT
3	1.6146514	5.403476	EXT
4	1.5959098	5.3903694	EXT
5	1.6448287	5.420441	EXT
6	1.5677232	5.293142	EXT
7	1.6249743	5.4102335	EXT
8	3.9317162	6.7205715	QC
9	3.44478	6.7572703	QC
10	3.91443	7.08609	QC
11	3.4347463	6.818459	QC
12	4.115761	6.677854	QC
13	3.5291324	7.128519	QC
14	3.4753137	6.993096	QC
15	3.4999514	6.6398168	QC
16	3.8170733	5.993101	QC
17	3.9649322	6.8199015	QC
18	3.8153737	7.0736275	QC
19	3.889904	6.0300136	QC
20	3.5003483	7.0528965	QC
21	3.981751	6.9307833	QC
22	3.5022407	6.6593347	QC
23	3.7863333	6.6125283	QC
24	-6.824838	3.0818093	control
25	-6.823825	3.2526374	control
26	-7.3628955	3.0644906	control
27	-6.822805	3.5618982	control
28	-7.860654	3.4321237	control
29	-7.926855	2.8907714	control
30	-6.6597147	3.884697	control
31	-7.4723573	3.4978063	control
32	-7.1835475	3.7232738	control
33	-7.2076607	2.905631	control
34	-6.8189816	2.0712936	control
35	-6.7841024	2.474099	control
36	-7.126391	2.9835746	control
37	-7.1955976	3.913258	control
38	-8.075933	4.356483	control
39	-7.6228023	3.4822488	control
40	-6.643471	2.871007	control
41	-6.404597	3.4552681	control
42	-6.708588	3.4781253	control
43	-6.700184	3.7286224	control
44	-7.301552	3.4838984	control
45	-7.9135923	3.7555733	control
46	-0.24600242	-3.6581414	local
47	-1.490289	-2.7090542	local
48	0.5295322	-2.4484293	local
49	-0.63834345	-2.6172998	local
50	0.701411	-4.4873	local
51	1.7472384	-6.7426486	local
52	0.610151	-3.5435557	local
53	-0.59211606	-1.9234909	local
54	1.1710367	-4.6878853	local
55	-0.08308379	-2.8704004	local
56	-1.6544503	0.69997495	local
57	-1.6320881	0.70057666	local
58	-1.9732116	1.0524287	local
59	-0.48264313	-8.042912	local
60	-1.1370652	-3.3375456	local
61	-1.5409044	0.5414803	local
62	1.2506906	-2.9402175	local
63	0.14910278	-8.36914	local
64	0.25724748	-3.2495654	local
65	3.1906192	-6.142642	local
66	2.6633615	-5.828962	local
67	3.1964426	-5.853924	local
68	0.11362665	-3.3649545	local
69	-0.629165	-4.566739	onset
70	3.3092146	-4.4648604	onset
71	2.0164418	-5.2102547	onset
72	0.23232782	-4.0963182	onset
73	1.8775873	-5.270579	onset
74	-2.0693846	1.0401872	onset
75	1.8522568	-6.853202	onset
76	1.4983499	-4.2434154	onset
77	-0.12069292	-7.402123	onset
78	-0.012435543	-8.349106	onset
79	1.91757	-2.6506011	onset
80	-0.39543197	-4.049202	onset
81	2.0228121	-4.708994	onset
82	2.424268	-3.272286	onset
83	-2.0898788	0.8885205	onset
84	1.7689623	-1.3724619	onset
85	1.8395872	-3.1497366	onset
86	2.620269	-7.178144	onset
87	-0.08528962	-8.069155	onset
88	2.3497672	-6.8524637	onset
89	-0.10579257	-7.3156834	onset
90	1.7988484	-3.6856687	onset
91	-1.7372788	1.8072658	onset
92	3.3413386	-3.5260887	onset
93	2.374427	-2.2327142	onset
94	1.5580102	-5.8018312	onset
95	2.1030974	-4.5085936	onset
96	-2.2189176	1.1675044	post
97	3.2861578	-3.9842756	post
98	0.29700044	-1.7022136	post
99	-0.3272512	-6.8189144	post
100	0.7693329	-4.628648	post
101	2.620115	-6.3307734	post
102	-1.930735	1.2027044	post
103	2.496604	-5.161749	post
104	1.2544522	-3.7890851	post
105	-0.06161411	-3.1134233	post
106	-0.456114	-4.0602694	post
107	3.0472887	-3.3596177	post
108	0.60119617	-2.3386264	post
109	0.9590897	-5.4415994	post
110	1.2357403	-3.9232597	post
111	2.4290617	-7.43831	post
112	0.3735738	-5.7176976	post
113	0.6746117	-5.2219267	post
114	0.18814427	-2.115153	post
115	0.7414644	-3.166932	post
116	-2.0645225	1.0449278	post
117	0.8617547	-1.9523591	post
118	0.77274305	-3.3559556	post
119	2.9102101	-6.362397	post
120	-1.8069419	1.1682857	post
121	0.07248188	-2.4908442	post
122	0.09720695	-2.9468553	post
