	PC1	PC2	PC3	Labels
0	-125.594864	-50.504635	107.925644	EXT
1	-79.98842	-58.134506	34.9315	EXT
2	-157.6376	-78.350204	73.21555	EXT
3	-102.086334	-89.49022	-3.1690474	EXT
4	-153.26392	-54.40092	22.802635	EXT
5	-117.65185	-37.936714	59.535503	EXT
6	-172.2255	-20.661087	66.854706	EXT
7	-120.335625	-94.479744	44.245857	EXT
8	-143.02646	17.935677	-38.502247	QC
9	-75.59219	68.43191	70.36739	QC
10	-110.607956	89.06989	-30.30592	QC
11	-105.19444	-8.242145	-75.31532	QC
12	-36.32129	22.832443	6.4966626	QC
13	-85.78378	41.709255	-64.10147	QC
14	-79.27831	29.43089	36.290173	QC
15	-141.81998	49.019638	7.0473995	QC
16	-150.92215	76.32192	57.32479	QC
17	-68.615395	-5.091304	-29.04336	QC
18	-111.738434	4.9990444	7.2555475	QC
19	-124.869835	28.196726	75.13631	QC
20	-96.956276	86.22204	22.504309	QC
21	-12.303822	116.58178	-145.75117	QC
22	-78.579254	49.41497	-14.2167635	QC
23	-118.377426	-33.405384	-27.75243	QC
24	24.64958	-53.611145	82.59303	control
25	50.75827	-99.28387	98.96759	control
26	86.26238	12.346163	-48.29863	control
27	-2.4925244	-106.422615	89.32387	control
28	-35.41169	-75.346855	128.74918	control
29	18.37126	-169.37231	73.472046	control
30	80.146454	-141.8151	82.85945	control
31	-32.78552	-118.53507	45.285835	control
32	120.18162	3.7749221	-124.03786	control
33	80.18016	-90.33424	27.833275	control
34	44.95064	-40.470093	20.394098	control
35	-7.892733	-56.78611	31.575525	control
36	159.653	-219.67432	182.51596	control
37	0.5117403	-153.4374	13.883258	control
38	78.82767	-195.43533	43.11906	control
39	98.278275	-77.0551	80.19888	control
40	27.660736	-99.087006	41.759567	control
41	26.441034	-70.65161	142.49774	control
42	-33.835888	131.97293	41.318592	control
43	19.84059	-138.35884	129.45828	control
44	56.828262	-141.18492	17.540148	control
45	-57.235527	-125.74762	107.03923	control
46	-11.813443	-81.68647	-158.15587	local
47	-116.72782	-70.37062	-116.07668	local
48	-73.3468	-179.60979	46.360847	local
49	-86.975334	81.91249	-138.70648	local
50	60.474457	76.71919	-74.59276	local
51	94.32176	166.68521	28.704052	local
52	15.930624	86.58949	-50.310837	local
53	17.96862	-16.223005	-185.66473	local
54	160.53047	0.09699172	-34.547096	local
55	-33.723293	87.93253	-85.711586	local
56	34.760384	-22.321198	-63.95389	local
57	41.532238	-17.75328	-111.92396	local
58	33.541172	-74.11437	-38.4691	local
59	13.144844	87.84072	17.379051	local
60	-41.147152	117.34366	-28.79014	local
61	-5.35426	-16.630186	-104.1535	local
62	5.585579	150.7761	-83.1431	local
63	27.202728	175.72546	69.9647	local
64	-223.57033	118.88808	-5.4441204	local
65	128.91805	118.23612	-53.662346	local
66	105.98643	77.62814	-24.426521	local
67	145.50874	55.78541	-68.348595	local
68	-67.007195	-115.416595	-99.82053	local
69	-44.427834	2.9198012	97.08461	onset
70	124.82512	30.761631	55.14434	onset
71	8.712073	80.8241	137.31256	onset
72	10.655744	11.545863	110.352905	onset
73	71.10342	57.92062	42.299618	onset
74	16.878736	-68.60694	-96.19293	onset
75	-182.80052	-49.725697	-76.49452	onset
76	50.364857	-153.7183	-62.515503	onset
77	-140.3969	-134.87404	-46.491573	onset
78	107.53288	-10.217533	6.412729	onset
79	-68.64379	-35.551594	-158.07481	onset
80	-51.3366	25.053905	-129.03418	onset
81	62.983185	128.10597	-32.80203	onset
82	-80.289314	146.50699	-85.59196	onset
83	-10.196508	-43.930748	-45.86424	onset
84	-48.23214	-11.951806	178.20374	onset
85	-107.205864	142.1413	76.47311	onset
86	189.86667	77.195854	-13.125108	onset
87	-66.8543	64.64242	147.8367	onset
88	137.86693	102.29468	74.62461	onset
89	48.383408	113.28392	86.04326	onset
90	11.730389	18.713083	47.582264	onset
91	90.4134	62.92431	122.060875	onset
92	78.60693	-2.0075195	70.964775	onset
93	-83.77192	170.07979	-8.001137	onset
94	83.87461	105.14605	21.80513	onset
95	39.948734	31.112576	158.82544	onset
96	-38.205734	-64.21218	-88.47607	post
97	151.40436	-19.117413	65.1058	post
98	107.82297	-85.185295	-39.83874	post
99	3.6213272	81.98212	76.96488	post
100	76.06945	-52.899765	-168.04965	post
101	144.72758	97.54324	19.554634	post
102	-37.202885	-91.00796	-33.128517	post
103	92.52524	79.50988	-125.20787	post
104	36.75038	25.798124	-7.771481	post
105	72.4518	-98.578125	-108.08221	post
106	3.9920678	47.313267	-119.45064	post
107	131.11578	-145.40732	-36.900055	post
108	141.29677	-80.711205	-94.8943	post
109	-6.3910217	50.016037	-188.00996	post
110	12.696985	154.67639	-13.305804	post
111	194.86234	40.3107	38.029423	post
112	165.639	-81.54929	4.1494985	post
113	143.82996	-24.502382	-241.95203	post
114	102.10576	-41.27629	-78.84018	post
115	-165.32576	83.96678	-55.417416	post
116	-1.8384163	-102.2647	-66.683075	post
117	-4.009886	-155.41508	-117.157486	post
118	-135.6025	69.01322	-97.318886	post
119	111.71581	-50.807426	152.47379	post
120	117.61654	10.791946	133.69472	post
121	-39.904175	139.10646	108.35275	post
122	-7.8689914	34.0077	-57.297592	post
