	Metabolite ID	Feature Importance	Metabolite name
0	704	0.013333333333333334	Unknown
1	741	0.013333333333333334	Unknown
2	1103	0.013333333333333334	Isobutyric acid
3	1967	0.013333333333333334	w/o MS2:Unknown (carbon number 5);PlaSMA ID-14
4	2124	0.013333333333333334	Unknown
5	3464	0.013333333333333334	w/o MS2:390 - Maleic acid
6	3667	0.013333333333333334	w/o MS2:Succinic acid
7	3680	0.013333333333333334	Unknown
8	3684	0.013333333333333334	Unknown
9	3769	0.013333333333333334	Betaine
10	3988	0.013333333333333334	Unknown
11	4534	0.013333333333333334	w/o MS2:Unknown (carbon number 6);PlaSMA ID-73
12	5242	0.013333333333333334	w/o MS2:Asparagine
13	5300	0.013333333333333334	Unknown
14	5405	0.013333333333333334	Unknown
15	5617	0.013333333333333334	Unknown
16	6136	0.013333333333333334	w/o MS2:NP-018661
17	6224	0.013333333333333334	w/o MS2:DL-Stachydrine
18	6734	0.02666666666666667	Unknown
19	6740	0.013333333333333334	Unknown
20	7493	0.02666666666666667	w/o MS2:Unknown (carbon number 8);PlaSMA ID-275
21	7495	0.013333333333333334	w/o MS2:Unknown (carbon number 8);PlaSMA ID-275
22	8645	0.013333333333333334	Unknown
23	8688	0.05333333333333334	Unknown
24	8777	0.013333333333333334	w/o MS2:Unknown (carbon number 9);PlaSMA ID-398
25	9085	0.013333333333333334	Unknown
26	9368	0.02666666666666667	w/o MS2:trans-Ferulic acid;[M+H-H2O]+;CE0;KSEBMYQBYZTDHS-HWKANZROSA-N
27	9416	0.013333333333333334	Unknown
28	9417	0.02666666666666667	Unknown
29	9457	0.013333333333333334	w/o MS2:C10H11NO2;PlaSMA ID-458
30	9674	0.013333333333333334	Unknown
31	10451	0.013333333333333334	Unknown
32	10903	0.013333333333333334	w/o MS2:C11H15NO2;PlaSMA ID-597
33	11904	0.013333333333333334	w/o MS2:NCGC00176311-03!6,7-dimethoxychromen-2-one
34	11914	0.013333333333333334	w/o MS2:Unknown (carbon number 12);PlaSMA ID-708
35	12549	0.013333333333333334	Unknown
36	12683	0.013333333333333334	w/o MS2:601 - 12-Hydroxydodecanoic acid
37	13535	0.013333333333333334	w/o MS2:Unknown (carbon number 12);PlaSMA ID-908
38	14064	0.013333333333333334	securinine
39	15243	0.013333333333333334	w/o MS2:Unknown (carbon number 20);PlaSMA ID-1208
40	15553	0.013333333333333334	w/o MS2:lysergol
41	16277	0.013333333333333334	w/o MS2:Myristyl sulfate
42	16307	0.013333333333333334	w/o MS2:N-Fructosyl isoleucine;PlaSMA ID-1496
43	16347	0.013333333333333334	Unknown
44	16623	0.013333333333333334	w/o MS2:Kaempferide
45	17539	0.013333333333333334	w/o MS2:Feruloyl lysine;PlaSMA ID-1730
46	17891	0.02666666666666667	Unknown
47	17962	0.013333333333333334	w/o MS2:lapidin
48	18658	0.013333333333333334	Unknown
49	20466	0.013333333333333334	Unknown
50	21492	0.013333333333333334	w/o MS2:Unknown (carbon number 23);PlaSMA ID-2583
51	21911	0.013333333333333334	Unknown
52	22145	0.013333333333333334	Unknown
53	23130	0.013333333333333334	Unknown
54	23944	0.013333333333333334	Unknown
55	24050	0.02666666666666667	Unknown
56	24988	0.013333333333333334	Unknown
57	25144	0.013333333333333334	Unknown
58	26385	0.013333333333333334	w/o MS2:chenodeoxycholic acid
59	27040	0.013333333333333334	Unknown
60	27278	0.02666666666666667	Unknown
61	27864	0.013333333333333334	Unknown
62	27871	0.013333333333333334	Unknown
63	27886	0.013333333333333334	Unknown
64	27933	0.013333333333333334	Unknown
