	Metabolite ID	Feature Importance	Metabolite name
0	1008	0.011000000000000001	Unknown
1	9013	0.011953524262224038	w/o MS2:trans-Aconitic acid
2	9899	0.010666666666666665	w/o MS2:Triethyl phosphate
3	12106	0.011799649134708665	w/o MS2:L-Kynurenine;CE0;YGPSJZOEDVAXAB-QMMMGPOBSA-N
4	13404	0.01219941348973607	Unknown
5	16950	0.01054080521896146	w/o MS2:Caffeoyl lysine;PlaSMA ID-1622
6	22337	0.011315632754342431	Unknown
7	23667	0.011162790697674419	Unknown
8	27871	0.010852840386529426	Unknown
9	27984	0.011026890756302518	Unknown
