	Metabolite ID	Feature Importance	Metabolite name
0	4993	0.011272911130671732	w/o MS2:DL-Leucineamide
1	7943	0.010799917216206809	w/o MS2:NIACIN
2	8073	0.025386311422984857	Unknown
3	9415	0.013121926360711056	Unknown
4	10375	0.01670477550883687	Unknown
5	11347	0.014769858958984985	w/o MS2:Unknown (carbon number 11);PlaSMA ID-648
6	11825	0.012849367114367117	Tryptophan;LC-ESI-QTOF;MS2;CE
7	14341	0.013888462365896442	Unknown
8	15245	0.010528963100391671	w/o MS2:Unknown (carbon number 20);PlaSMA ID-1208
9	16950	0.011428571428571429	w/o MS2:Caffeoyl lysine;PlaSMA ID-1622
10	17307	0.01649093558770978	w/o MS2:Unknown (carbon number 18);PlaSMA ID-1689
11	19225	0.026434287321850714	Unknown
12	22688	0.019466604417674234	w/o MS2:NCGC00160302-01!BELLADONNINE
13	27361	0.012710998978305292	Unknown
