	Metabolite ID	Feature Importance	Metabolite name
0	939	0.010438024231127678	w/o MS2:2-Methylpyrrolidine;CE10;RGHPCLZJAFCTIK-UHFFFAOYSA-N
1	4741	0.011232891198094905	Unknown
2	5437	0.01310483870967742	w/o MS2:381 - Tyramine
3	5947	0.010260631273729653	w/o MS2:Unknown (carbon number 8);PlaSMA ID-162
4	5950	0.012474747474747474	w/o MS2:Unknown (carbon number 8);PlaSMA ID-162
5	6389	0.011296122576610383	w/o MS2:NIACINAMIDE
6	7435	0.010475703324808183	Unknown
7	9416	0.014552806699143502	Unknown
8	9757	0.011264367816091954	Unknown
9	11827	0.011347248576850094	Tryptophan
10	12168	0.021978528028964054	Unknown
11	12292	0.010616326530612246	w/o MS2:Ferulic Acid
12	12425	0.010723398001175782	Unknown
13	14073	0.011936339522546418	Unknown
14	14511	0.0105	Unknown
15	14547	0.01056985294117647	Unknown
16	14960	0.01928307405173765	Unknown
17	15243	0.022647552198014356	w/o MS2:Unknown (carbon number 20);PlaSMA ID-1208
18	15319	0.011792394528675015	Unknown
19	15325	0.013856228373702423	Unknown
20	15562	0.013004133545310015	Unknown
21	15686	0.024843315032831166	Unknown
22	15944	0.012103255186372069	Unknown
23	15971	0.010012515644555695	w/o MS2:FORMONONETIN
24	19282	0.013298701298701296	w/o MS2:matairesinol
25	19494	0.011058192446939251	Unknown
26	20067	0.013522727272727271	Unknown
27	20620	0.01219941348973607	Unknown
28	21813	0.012507440476190478	Unknown
29	22714	0.01005768994141087	Unknown
30	22857	0.015725	Unknown
31	25542	0.013004133545310013	Unknown
32	27356	0.014677981109799293	Unknown
33	27369	0.01353663601004781	Unknown
