	mean	iqr	cilo	cihi	whishi	whislo	fliers	q1	med	q3
0	25.87883792811754	0.3208119389429456	25.797836591811443	26.049673963881656	26.34959922798655	25.46764253999284	[]	25.75149688349125	25.92375527784655	26.072308822434195
1	23.99413292823303	0.2745429047629102	23.878527968441727	24.094044148680613	24.350256392596105	23.653300769994363	[]	23.85380069721354	23.98628605856117	24.12834360197645
2	25.696555943936666	0.0875372698903476	25.659685379948584	25.728402136812505	25.82469696661228	25.57053478344672	[]	25.65328854073255	25.694043758380545	25.740825810622898
3	29.16692662522635	0.2249677071923415	29.104195058333055	29.280794708479043	29.418294232557628	28.938309809244515	[]	29.052009578584048	29.19249488340605	29.27697728577639
4	27.279815294112744	0.26336698139429515	27.181660367201648	27.388403447596172	27.683020022370545	26.940498933803763	[]	27.14593062174651	27.28503190739891	27.409297603140804
5	27.255683616277455	0.03877217469969452	27.26282456647482	27.293260723614083	27.330005591979845	27.213255899551815	[27.08255732 27.07431262]	27.256247923598472	27.27804264504445	27.295020098298167
6	26.54027752047195	0.08363885813665917	26.50092246538436	26.566578969021638	26.672156497674116	26.45426956032353	[]	26.49942508150812	26.533750717203	26.58306393964478
7	25.26266370504893	0.34614390011966734	25.17563642679722	25.447359388391156	25.493744554888284	24.933024735136424	[]	25.089784993790943	25.311497907594187	25.43592889391061
8	20.642678119883403	0.2359305999722281	20.664631379018296	20.849836899996497	20.997086341795477	20.504632314815805	[19.75023424 19.69642396]	20.610237089922308	20.757234139507396	20.846167689894536
9	20.106684378164168	0.27384046091959036	19.954306123480908	20.169270885302783	20.393206464253648	19.65375167543549	[]	19.994963626733757	20.061788504391846	20.268804087653347
10	20.77348999552727	0.2531837087490665	20.70429007956862	20.903039290936636	21.060444358114434	20.446377720691856	[]	20.63092512517835	20.803664685252627	20.884108833927417
11	20.52226137165967	0.27155491477694227	20.42164879957356	20.63481940767346	20.86917684802348	20.133011598762923	[]	20.398027524238188	20.52823410362351	20.66958243901513
12	20.94938441543728	0.22792117546471857	20.940024219594942	21.118942342334744	21.14109661301705	20.54755800143768	[20.49748356]	20.87394049148462	21.029483280964843	21.10186166694934
13	21.677028969924784	0.04651477349805688	21.652618921995725	21.6891330191917	21.746981479241757	21.63952921713405	[21.54462595 21.78490396]	21.65305675396536	21.670875970593713	21.699571527463416
14	20.759912409937613	0.4086262262594431	20.574718194500367	20.89548978211403	21.078722766149696	20.296879671805478	[]	20.596169000058158	20.7351039883072	21.0047952263176
15	35.42768648020136	0.10892900141559636	35.40210150080424	35.48761076691549	35.582482033647665	35.2428534841527	[35.65128234]	35.37176963700267	35.444856133859865	35.48069863841827
16	22.55030367128641	0.3025665904603372	22.477637533743746	22.71515230725511	22.96900217824625	22.063620091301114	[]	22.413262424675654	22.596394920499428	22.71582901513599
17	28.40958698870775	0.01557613207234354	28.40283736103443	28.41506462471122	28.43775483516554	28.37838308439694	[28.44662677]	28.400331996853417	28.408950992872825	28.41590812892576
18	30.953554162488334	0.029930837721636294	30.94343474347762	30.9669304510891	30.992944508733963	30.89975447514971	[]	30.940488488210242	30.95518259728336	30.97041932593188
19	26.03140151956982	0.08926547342374391	26.005153050810044	26.075226447447683	26.138946279665227	25.975949777148124	[25.85972096 25.83805698]	26.007228652639675	26.040189749128864	26.09649412606342
20	23.807907108470424	0.14531125984068183	23.77412132643563	23.888190665410566	23.990100096075796	23.58667868622564	[]	23.731023333419095	23.831155995923098	23.876334593259777
21	27.290144914935006	0.2798588638721853	27.20994974751326	27.429638955652923	27.569186442754454	26.90421028456682	[]	27.166635830403166	27.31979435158309	27.44649469427535
22	27.187506127105173	0.2912043446557142	27.12304707470994	27.35164248526468	27.498518602044992	26.911515302825464	[26.45205335]	27.074995973557307	27.23734477998731	27.36620031821302
23	29.552359301231693	0.028268574751908915	29.54509969617162	29.567290527351865	29.604850179130118	29.514974255951103	[29.47501442]	29.53469703924843	29.556195111761742	29.56296561400034
24	25.159682593230308	0.45048952955627186	25.06578335303813	25.41941763373981	25.50859662197326	24.67429727728335	[]	24.90841289966056	25.24260049338897	25.358902429216833
25	27.484258871817772	0.12379150391153004	27.42659382097142	27.523770151541967	27.609870540484486	27.35310005793589	[]	27.430955001909613	27.475181986256693	27.554746505821143
26	23.161585016138027	0.10530644018473367	23.136836703507164	23.219502259052177	23.32664087305394	23.045382879142647	[22.79035662 22.93979615 23.51156641]	23.10702978701158	23.17816948127967	23.212336227196314
27	28.36698448404819	0.033600166683957156	28.356135296943137	28.382511427790043	28.4057539234498	28.33451141699584	[]	28.348466107515314	28.36932336236659	28.38206627419927
28	26.831476439771368	0.12675050926474896	26.78245767742065	26.881956827193473	26.96254250231565	26.708927604296697	[]	26.76482970017358	26.83220725230706	26.891580209438327
29	24.499580120735907	0.07036475316891	24.483557636336894	24.538793967574488	24.590484576402662	24.411441818434067	[]	24.465123501611483	24.51117580195569	24.535488254780393
30	23.20386434012358	0.4123239204378635	23.097654250508494	23.421328528052218	23.731000937772297	22.65207291027473	[]	22.99621709804172	23.259491389280356	23.408541018479582
31	25.69893865755124	0.04427893016874407	25.68584451757991	25.720603477762374	25.73603030602175	25.637611132156582	[]	25.67805166306635	25.70322399767114	25.722330593235093
32	22.97485807346946	0.47342916467230367	22.792830992539812	23.164472886807573	23.458561263492065	22.45272177868821	[]	22.725943970101685	22.978651939673693	23.19937313477399
33	32.50611046688958	0.030586958239148032	32.49650921525644	32.520519977474166	32.543585122758294	32.46450406518217	[]	32.488196769957106	32.5085145963653	32.518783728196254
34	31.742599428672825	0.04777218856757415	31.722490198678134	31.759991366703677	31.801258097424885	31.701164415919106	[]	31.71764246456195	31.741240782690905	31.765414653129525
35	28.49558279657057	0.1324903211127868	28.412206962516287	28.516211864589827	28.749031287433976	28.288113622841536	[]	28.438561506999555	28.464209413553057	28.571051828112342
36	32.88884832228485	0.033495739312854766	32.880076375101126	32.906370530461714	32.92778869361477	32.84834736438886	[]	32.871218574116256	32.89322345278142	32.90471431342911
37	24.715247097243008	0.32118630492606215	24.57894531172681	24.83107656109377	25.1427282599004	24.183867216302588	[]	24.59598436191376	24.70501093641029	24.917170666839823
38	28.25261140764317	0.026141957127357784	28.244364678658123	28.2648861150031	28.291839813814946	28.213622925619447	[]	28.23789774503539	28.254625396830612	28.264039702162748
39	25.59664772363958	0.2004279727276277	25.54267345494023	25.70000941353142	25.896272102536518	25.368240372017837	[25.2057417]	25.517338907462225	25.621341434235823	25.717766880189853
40	26.433297811885527	0.05721446109142292	26.41535038132205	26.460263733278815	26.48282491685964	26.38699770195038	[]	26.404482851759578	26.437807057300432	26.461697312851
41	28.220633023726215	0.05286509377036097	28.201001878722174	28.242500977331908	28.32520884148797	28.12482191858284	[28.10879568]	28.20061076141543	28.22175142802704	28.25347585518579
42	28.40229205359053	0.04556368423013524	28.38641122293467	28.422178715055324	28.45413599367277	28.355916451285665	[]	28.37675151131099	28.404294968994996	28.422315195541124
43	27.346067896304078	0.04398639130473825	27.328436526430117	27.362965843604336	27.398348094381515	27.26567873446531	[27.43328714]	27.320206003324635	27.345701185017226	27.364192394629374
44	29.434629559559355	0.045117682373415846	29.415892835352967	29.4513102160161	29.48057292374761	29.383955856581867	[]	29.411107099205474	29.433601525684534	29.45622478157889
45	29.430730355608176	0.05495648388416541	29.401312464501853	29.444453304350926	29.48503076639112	29.38606990424037	[]	29.402433164611946	29.42288288442639	29.45738964849611
46	31.63225558345696	0.03658489180614666	31.623808462496758	31.652527602564586	31.67334262197459	31.580162509001543	[31.55273977]	31.617159727750288	31.638168032530672	31.653744619556434
47	31.281930351761645	0.22533618745401895	31.24301205783953	31.419900964990937	31.595492381707132	31.08677206163777	[30.69216729 30.72409251]	31.214661109270207	31.331456511415233	31.439997296724226
48	32.530687747311646	0.21061636311721088	32.448781277839316	32.61411512288633	32.754975204903936	32.184101931832764	[]	32.43507817801442	32.531448200362824	32.64569454113163
49	31.269714807437204	0.18820196561604163	31.278309696545545	31.426048239554138	31.52733161294455	31.213939131948607	[30.92934533 30.76892101 30.92926197]	31.21819824716187	31.35217896804984	31.40640021277791
