	Metabolite ID	Feature Importance	Metabolite name
0	261	0.04	Unknown
1	2099	0.013333333333333334	Unknown
2	3212	0.013333333333333334	3-Hydroxybutyric acid
3	4085	0.013333333333333334	w/o MS2:2-Furoic acid
4	4105	0.013333333333333334	2-Furoic acid
5	4140	0.013333333333333334	Unknown (carbon number 5);PlaSMA ID-18
6	6527	0.013333333333333334	Ketoleucine
7	9423	0.013333333333333334	Unknown
8	10676	0.013333333333333334	Unknown
9	11228	0.013333333333333334	w/o MS2:cis-Aconitic acid
10	11255	0.013333333333333334	w/o MS2:trans-Aconitic acid
11	11260	0.02666666666666667	Aconitic Acid
12	11306	0.013333333333333334	Aconitic Acid
13	12927	0.013333333333333334	Unknown
14	13508	0.013333333333333334	w/o MS2:Citric acid
15	13578	0.013333333333333334	Citric acid
16	13589	0.013333333333333334	5 - Citric acid
17	13597	0.013333333333333334	Citric acid
18	13600	0.013333333333333334	Citric acid
19	13626	0.013333333333333334	5 - Citric acid
20	13635	0.013333333333333334	w/o MS2:Citric acid
21	14307	0.013333333333333334	Unknown
22	14713	0.013333333333333334	Unknown
23	14861	0.013333333333333334	Unknown
24	14888	0.013333333333333334	Unknown
25	15388	0.013333333333333334	Unknown
26	15610	0.013333333333333334	Unknown
27	15862	0.013333333333333334	Unknown
28	16022	0.02666666666666667	Unknown
29	16635	0.013333333333333334	Unknown
30	17738	0.013333333333333334	w/o MS2:8-Methylsulfinyloctyl isothiocyanate
31	20079	0.013333333333333334	101 - Glucosamine 6-phosphate
32	21647	0.013333333333333334	Unknown
33	21675	0.02666666666666667	Unknown
34	21889	0.013333333333333334	Unknown
35	22115	0.013333333333333334	Unknown
36	23328	0.013333333333333334	Unknown
37	23367	0.013333333333333334	Unknown
38	23671	0.013333333333333334	w/o MS2:N-Acetylneuraminic acid
39	24648	0.02666666666666667	Unknown
40	24983	0.013333333333333334	Unknown
41	25650	0.013333333333333334	Unknown
42	25881	0.013333333333333334	Unknown
43	26539	0.013333333333333334	Unknown
44	26918	0.02666666666666667	Unknown
45	26977	0.02666666666666667	Unknown
46	27755	0.013333333333333334	Unknown
47	27978	0.013333333333333334	Unknown
48	27979	0.013333333333333334	Unknown
49	28248	0.013333333333333334	Unknown
50	28548	0.013333333333333334	Unknown
51	28700	0.013333333333333334	Unknown
52	28964	0.013333333333333334	Unknown
53	29060	0.013333333333333334	w/o MS2:Inosine-5'-diphosphate;LC-ESI-QTOF;MS2;CE
54	29806	0.013333333333333334	Unknown
55	29814	0.013333333333333334	Unknown
56	30324	0.013333333333333334	Unknown
57	30430	0.02666666666666667	Unknown
58	31262	0.013333333333333334	Unknown
59	32084	0.013333333333333334	Unknown
60	32140	0.013333333333333334	w/o MS2:Phosphatidylcholine lyso 18
61	32245	0.013333333333333334	Unknown
62	32275	0.013333333333333334	Unknown
63	33994	0.013333333333333334	Unknown
64	34011	0.013333333333333334	Unknown
65	34068	0.013333333333333334	Unknown
