	Metabolite ID	Feature Importance	Metabolite name
0	2318	0.014559884559884561	Unknown
1	2822	0.010775771179811584	Unknown
2	3287	0.013820676299431147	2-Hydroxyisobutyric acid;LC-ESI-QTOF;MS2;CE
3	9542	0.032892493540714884	w/o MS2:Unknown (carbon number 7);PlaSMA ID-110
4	12340	0.010947244326554669	Unknown
5	14884	0.021216899989278507	Unknown
6	17084	0.014444295076272106	Unknown
7	17575	0.012793522267206479	Unknown (carbon number 12);PlaSMA ID-342
8	17624	0.012845919071207693	Unknown
9	19954	0.012667975159885578	Unknown
10	23328	0.016666666666666666	Unknown
11	27962	0.017850137349625837	Unknown
12	31178	0.01061965917801158	Unknown
13	32359	0.01789740050609616	Unknown
14	34597	0.014550090389458396	Unknown
15	35212	0.014025578231292517	Unknown
