	Metabolite ID	Feature Importance	Metabolite name
0	2318	0.019089982600930696	Unknown
1	2822	0.029437215543465546	Unknown
2	9542	0.02892838950589267	w/o MS2:Unknown (carbon number 7);PlaSMA ID-110
3	12340	0.013209354626606534	Unknown
4	17624	0.016649512401379282	Unknown
5	18842	0.01781881366086038	Unknown
6	20271	0.01692133492864464	Unknown
7	21228	0.0123226194489708	Glu-Gln
8	21363	0.013934154153061717	Unknown
9	22543	0.01671306739597045	Unknown
10	23367	0.010048057734323957	Unknown
11	29157	0.011697307042734187	w/o MS2:8-[2-(3,4-dihydroxy-2,5-dimethoxyoxolan-3-yl)ethyl]-4a,7,8-trimethylspiro[2,3,5,6,7,8a-hexahydro-1H-naphthalene-4,2'-oxirane]-2,3-diol
12	30278	0.010634511183261183	Unknown
13	31397	0.012472027995685284	Unknown
14	35029	0.015604754812522287	Unknown
