	Metabolite ID	Feature Importance	Metabolite name
0	1	0.010928880643166357	Unknown
1	363	0.010879999999999999	Unknown
2	1991	0.018185845484438835	w/o MS2:Phosphoric acid
3	2318	0.03433351523640702	Unknown
4	2326	0.010357142857142858	Unknown
5	2822	0.034286503931772475	Unknown
6	5692	0.010723398001175782	Unknown
7	5711	0.012148185148185147	w/o MS2:PURINE
8	5924	0.010014930652531458	w/o MS2:Nicotinic acid
9	9542	0.020202406014906017	w/o MS2:Unknown (carbon number 7);PlaSMA ID-110
10	10676	0.011385230972311245	Unknown
11	10852	0.015045013545013544	Unknown
12	14884	0.013476873509296716	Unknown
13	15092	0.012416851441241685	TRYPTOPHAN
14	15610	0.032974314949226646	Unknown
15	17624	0.02312806420615848	Unknown
16	18741	0.012820512820512817	Unknown
17	18857	0.015824175824175824	Unknown
18	18933	0.010043762432509236	Chlorothalonil-4-hydroxy
19	19158	0.012408169533169535	Unknown
20	21067	0.011792394528675015	Unknown
21	22543	0.011537645811240721	Unknown
22	23328	0.011314285714285714	Unknown
23	26206	0.012013210182278918	Unknown
24	26647	0.03710599986303992	Unknown
25	27962	0.010372209067534393	Unknown
26	28343	0.015401391996182567	Unknown
27	29294	0.012803030303030302	Unknown
28	29986	0.010793983522055756	Unknown
29	31178	0.019815607523107525	Unknown
30	31360	0.012962962962962963	Unknown
31	34300	0.01358142898012179	w/o MS2:Phosphatidylethanolamine 16
