	Metabolite ID	Feature Importance	Metabolite name
0	261	0.04	Unknown
1	363	0.02666666666666667	Unknown
2	1974	0.013333333333333334	Unknown
3	2099	0.04	Unknown
4	2326	0.013333333333333334	Unknown
5	3390	0.02666666666666667	14 - L-Serine
6	4105	0.013333333333333334	2-Furoic acid
7	5636	0.013333333333333334	L-allo-Threonine;LC-ESI-QTOF;MS2;CE
8	6338	0.013333333333333334	L-5-Oxoproline
9	6866	0.02666666666666667	Aspartate;LC-ESI-ITFT;MS2;CE 40.0 eV;[M-H]-
10	7231	0.013333333333333334	Unknown
11	8185	0.013333333333333334	Unknown
12	11161	0.013333333333333334	Unknown
13	11229	0.013333333333333334	Aconitic Acid
14	11233	0.013333333333333334	Aconitic Acid
15	11940	0.013333333333333334	Unknown
16	13539	0.013333333333333334	5 - Citric acid
17	13571	0.013333333333333334	Citric acid
18	13589	0.013333333333333334	5 - Citric acid
19	13597	0.04	Citric acid
20	13987	0.013333333333333334	Unknown
21	14052	0.013333333333333334	Unknown
22	14713	0.013333333333333334	Unknown
23	14861	0.013333333333333334	Unknown
24	15092	0.013333333333333334	TRYPTOPHAN
25	16397	0.013333333333333334	Unknown
26	16606	0.013333333333333334	Unknown
27	17738	0.013333333333333334	w/o MS2:8-Methylsulfinyloctyl isothiocyanate
28	18741	0.013333333333333334	Unknown
29	18905	0.013333333333333334	Unknown
30	19647	0.04	Unknown
31	19869	0.013333333333333334	Palmitic Acid
32	20079	0.013333333333333334	101 - Glucosamine 6-phosphate
33	20149	0.013333333333333334	w/o MS2:Bromacil;LC-ESI-ITFT;MS2;CE
34	21230	0.013333333333333334	Unknown
35	21255	0.013333333333333334	Unknown
36	21671	0.013333333333333334	Unknown
37	21889	0.013333333333333334	Unknown
38	22548	0.013333333333333334	Unknown
39	23328	0.02666666666666667	Unknown
40	23367	0.02666666666666667	Unknown
41	23671	0.02666666666666667	w/o MS2:N-Acetylneuraminic acid
42	24014	0.013333333333333334	Unknown
43	24688	0.013333333333333334	Docosahexanoic acid
44	25821	0.013333333333333334	w/o MS2:NCGC00095460-07!7,11b-dihydro-6H-indeno[2,1-c]chromene-3,4,6a,9,10-pentol
45	28248	0.013333333333333334	Unknown
46	28400	0.013333333333333334	Unknown
47	28545	0.02666666666666667	Unknown
48	28970	0.013333333333333334	Unknown
49	29528	0.013333333333333334	Unknown
50	29963	0.04	Unknown
51	30136	0.013333333333333334	Unknown
52	30430	0.013333333333333334	Unknown
53	30972	0.013333333333333334	Unknown
54	31360	0.02666666666666667	Unknown
55	33489	0.013333333333333334	Unknown
56	34653	0.013333333333333334	w/o MS2:PFSA-ether;C13HF27O5S
