	true labels	predict_labels_l1	predict_labels_l2
0	control_local	control_local	onset
1	control_local	control_local	control_local
2	control_local	control_local	control_local
3	control_local	control_local	control_local
4	control_local	control_local	control_local
5	onset	onset	onset
6	onset	control_local	control_local
7	onset	onset	onset
8	onset	control_local	onset
9	onset	control_local	onset
10	control_local	onset	onset
11	control_local	control_local	control_local
12	onset	control_local	control_local
13	control_local	onset	control_local
14	control_local	onset	onset
