	mean	iqr	cilo	cihi	whishi	whislo	fliers	q1	med	q3
0	23.279059668916126	0.04107031085641211	23.25872911625354	23.271690161919018	23.356098773406885	23.253138107596243	[23.35907368]	23.25497331231476	23.26520963908628	23.296043623171172
1	27.477886477659514	0.25371199737924144	27.52341163415211	27.60347854173915	27.638017018273963	27.001977125349633	[26.98359962]	27.372968036968352	27.56344508794563	27.626680034347594
2	27.02785426368373	0.17220545993421865	26.94260942156611	26.9969543433237	27.35087481381622	26.91916664276276	[27.36334843]	26.92686155097134	26.969781882444906	27.099067010905557
3	27.588519945582874	0.18706242593200528	27.58067222339141	27.63970573432041	27.727673307337596	27.36416935290755	[]	27.499258566836556	27.61018897885591	27.68632099276856
4	25.914790537521018	0.21344016143802236	25.905836205387654	25.97319405151929	26.073565961551743	25.65880419242388	[]	25.812942381779038	25.939515128453472	26.02638254321706
5	22.41312483237594	0.18567444845089298	22.362318835153282	22.420914325547734	22.635810774499703	22.27500396943318	[]	22.316049455513664	22.391616580350508	22.501723903964557
6	24.225082280573332	0.15918893088412744	24.181523500957507	24.231760642084605	24.416003203431895	24.10666365761244	[]	24.141854213455	24.206642071521056	24.30104314433913
7	26.34016348919532	0.19914236336376234	26.33180898434784	26.394654704569252	26.488302962912616	26.10132499971874	[]	26.245137874980784	26.363231844458547	26.444280238344547
8	23.15085834733653	0.46361791309461253	23.131408452111295	23.277717861941674	23.49573782195786	22.594824964045088	[]	22.929631802624865	23.204563157026485	23.393249715719477
9	20.68737909685372	0.3650457294149909	20.506674805708236	20.621876621089577	21.372126679124456	20.45698017761026	[21.39856859]	20.473292049375598	20.564275713398906	20.83833777879059
10	29.070166587829593	0.0	29.0701665878296	29.0701665878296	29.0701665878296	29.0701665878296	[]	29.0701665878296	29.0701665878296	29.0701665878296
11	26.30155910434317	0.19645507110021754	26.20431026263628	26.266307922129197	26.67006673016316	26.177566320982326	[26.68429686]	26.186344809999344	26.23530909238274	26.38279988109956
12	27.0741257682773	0.030811083056960342	27.06218590413291	27.07190932346373	27.120945653172964	27.05407229772693	[]	27.057120859256553	27.06704761379832	27.087931942313514
13	26.580740209999348	0.07818622534581365	26.594769661430046	26.61944381694499	26.630087511906673	26.4340796015925	[26.42841622]	26.548407577200933	26.60710673918752	26.626593802546747
14	25.822267511467654	0.13591775857428345	25.84665609889527	25.88954927985485	25.908052119143196	25.567314914924246	[25.55746978]	25.7660609487472	25.86810268937506	25.901978707321483
15	26.983297738446666	0.17380931174951186	26.935738392054684	26.99058946037375	27.191753401892782	26.854003199932514	[]	26.89242576020181	26.963163926214218	27.066235071951322
16	22.263086915563193	0.2953182908090959	22.182279134051917	22.27547623368939	22.617272601121286	22.043403391472257	[]	22.10868691807405	22.228877683870653	22.404005208883145
17	31.32548649381461	0.3415254421182148	31.232035074901077	31.33981431394048	31.735090052472497	31.071430056992874	[]	31.146928209256412	31.28592469442078	31.488453651374627
18	28.807450572285088	0.11614380573326599	28.77567020659264	28.812323086458438	28.946745952006605	28.721052670973545	[]	28.746727603638394	28.79399664652554	28.86287140937166
19	29.43015705765815	0.27738714163909606	29.41851999470323	29.506058348682814	29.63650182772246	29.097476834373385	[]	29.29779504756528	29.462289171693023	29.575182189204376
20	27.788417162050923	0.5531814867285405	27.765209857817165	27.939783908056302	28.199921841065024	27.12496701279605	[]	27.524453183414835	27.852496882936734	28.077634670143375
21	23.083072922728828	0.07913579892097289	23.097272762182364	23.12224658590565	23.133019548796938	22.93463111772794	[22.92889895]	23.050347609332384	23.109759674044007	23.129483408253357
22	27.30506261007183	0.04285526377157112	27.28384847323037	27.297372817681797	27.385449904088503	27.278014474321708	[27.3885541]	27.27992943869522	27.290610645456084	27.32278470246679
23	26.702142267191793	0.048369363656295405	26.68890698481403	26.704171479240454	26.760153358139384	26.666160912169932	[]	26.67685351989943	26.69653923202724	26.725222883555727
24	24.651902987714607	0.08186117611035115	24.666591858907648	24.692425762271693	24.70356973786301	24.498348958984554	[24.49241938]	24.618050639198902	24.67950881058967	24.699911815309253
25	25.357055819730355	0.27410698685542556	25.282052075655304	25.36855527224127	25.68580203720867	25.153151115130548	[]	25.213745637464694	25.325303673948287	25.48785262432012
26	22.863938872042958	0.008966193623773933	22.86148545741242	22.864315025598778	22.87469234561475	22.85726903453457	[]	22.85925111542211	22.8629002415056	22.868217309045885
27	24.950156517653273	0.1499726101342027	24.9091195948159	24.95644823216943	25.13002398061938	24.838593798591305	[]	24.8717469800499	24.932783913492663	25.0217195901841
28	22.580875596349507	0.15911310334190887	22.537337565382416	22.587550776711645	22.77170557655243	22.462513380533192	[]	22.497687173820022	22.56244417104703	22.65680027716193
29	25.410436574626935	0.0036889576489187448	25.408610473329748	25.409774641497666	25.417356268839303	25.408108285904166	[25.41762348]	25.408273124988373	25.409192557413707	25.41196208263729
30	24.642224430354588	0.2913382074814308	24.694501096880384	24.786442154362664	24.826102785049002	24.095736368260134	[24.07463343]	24.5217462867177	24.740471625621524	24.81308449419913
31	20.409793297548994	0.43290907051518346	20.291336626651308	20.427954882392363	20.928996478309145	20.087757740722665	[]	20.18345730184265	20.359645754521836	20.616366372357835
32	23.187584902042982	0.2576435051501491	23.11708605141327	23.198393671590264	23.496585882819296	22.995927172291612	[]	23.052882251423917	23.157739861501767	23.310525756574066
33	19.00154883057337	0.01209507959788425	18.995561545626995	18.999378533512573	19.024236608528703	18.99391501084701	[19.02511271]	18.99445547296856	18.997470039569784	19.006550552566445
34	24.23576762916939	0.035290432268837435	24.234287109994522	24.24542413074389	24.262019733319065	24.193442563855335	[]	24.218927942497253	24.239855620369205	24.25421837476609
35	21.54939028310866	0.38156308244889914	21.44498338668912	21.565397779294276	22.007012401842164	21.265550354380515	[]	21.349899290489642	21.5051905829917	21.73146237293854
36	24.51743936184627	0.019350825688647433	24.51662754780412	24.522734317638225	24.531834195195923	24.494231231243162	[]	24.508205645495906	24.519680932721172	24.527556471184553
37	28.586743854239536	0.0941692484762946	28.603641241111916	28.633359349018427	28.646178854642535	28.410102518586143	[28.40328141]	28.54780170402794	28.61850029506517	28.641970952504234
38	28.961633802333303	0.041758503441212014	28.950207446000718	28.96338567277177	29.01171625448581	28.930570182224997	[]	28.939801382780797	28.956796559386245	28.98155988622201
39	28.346742188746376	0.2620973812858267	28.335746568299385	28.418459751053803	28.5417131003622	28.032399516576078	[]	28.22167605906902	28.377103159676594	28.483773440354845
40	24.944590835583156	0.13115448160590404	24.893766049932605	24.935156027020167	25.14389047464456	24.85922861284836	[]	24.87220551815224	24.914461038476386	25.003359999758143
41	25.202459776215747	0.3601000069591507	25.103925809339398	25.217566844359883	25.63434046834919	24.9345859566253	[]	25.01419023145438	25.16074632684964	25.37429023841353
42	26.573157080751606	0.19617254632793646	26.564927166927358	26.626835666723192	26.719087345311724	26.337880398029128	[]	26.479548586848217	26.595881416825275	26.675721133176154
43	23.812976947388893	0.21549908335600776	23.85164531782831	23.91965292239723	23.94898937518877	23.408746834863972	[23.39313726]	23.72386083138333	23.88564912011277	23.939359914739338
44	24.8052519496375	0.16223719968661143	24.724941578074535	24.776140697582754	25.109574179123005	24.702855804560617	[25.12132575]	24.710105286429908	24.750541137828645	24.87234248611652
45	24.825787617679527	0.12712786362804707	24.762857007534986	24.802976256975246	25.064252254393047	24.74555075959045	[25.0734607]	24.75123139969184	24.782916632255116	24.878359263319886
46	24.393936540973893	0.43217382737387666	24.37580580136247	24.512192027695153	24.715425159769723	23.87561516335347	[]	24.18771430528296	24.443998914528812	24.619888132656836
47	31.678758162037823	0.515483769841591	31.65713236840357	31.81980970250233	32.06221998846322	31.060520219798626	[]	31.432782564382855	31.73847103545295	31.948266334224446
48	31.110522870057643	0.4499013968314287	31.091648415937335	31.233629141860746	31.44519880251878	30.57094019052328	[]	30.8958414941427	31.16263877889904	31.34574289097413
49	24.722499417060135	0.18541661456991676	24.650647051995048	24.709161174690163	25.004254671666832	24.60182054922091	[]	24.620166348919103	24.679904113342605	24.80558296348902
