	Metabolite ID	Feature Importance	Metabolite name
0	744	0.01181255626051827	Pyrimidine
1	7724	0.0143408966378289	Unknown
2	8548	0.010199459093982422	Unknown (carbon number 8);PlaSMA ID-283
3	8756	0.01049672452616908	w/o MS2:N-Acetylindole;LC-ESI-QTOF;MS2;CE
4	14434	0.012937238691329803	w/o MS2:Acetylarginine
5	14838	0.02538298830044754	Cystathionine
6	16472	0.010575894693541749	"w/o MS2:""""NCGC00160263-01!2-(3-Methyl-5-oxo-2,5-dihydro-furan-2-ylmethyl)-quinoline"""""
7	16658	0.01904925094398779	w/o MS2:NCGC00381429-01_C12H13NO3_1H-Indole-3-propanoic acid, alpha-hydroxy-beta-methyl-
8	19287	0.01736883475733562	Unknown
9	21815	0.010042481570495152	Unknown
10	29861	0.01207720750497749	Unknown
11	39909	0.01739245223116191	Unknown
12	40919	0.011580337941628263	Unknown
