	Metabolite ID	Feature Importance	Metabolite name
0	960	0.011385230972311245	Unknown
1	2839	0.015939103579347483	Unknown
2	3322	0.012404770444763274	Unknown
3	5211	0.02300332184636221	35 - Pipecolic acid
4	8670	0.014502375611355558	w/o MS2:1,5-Naphthalenediamine
5	9295	0.011762483206448723	Methioninesulfoxide
6	10492	0.022729658042492263	w/o MS2:Serotonin
7	11212	0.012148185148185147	w/o MS2:Sorbitol
8	11896	0.023925554965798866	w/o MS2:Homoarginine
9	13984	0.013298701298701301	w/o MS2:315 - 3-Methoxytyrosine
10	14838	0.05839934296798075	Cystathionine
11	15299	0.010239767478897911	Flufenacet OXA;LC-ESI-ITFT;MS2;CE
12	15408	0.010359408033826638	Unknown
13	15692	0.014161704149509029	Unknown
14	17532	0.013017569416729078	w/o MS2:Unknown (carbon number 9);PlaSMA ID-1064
15	18479	0.011762483206448727	w/o MS2:Prenyletin
16	21815	0.01165974025974026	Unknown
17	25124	0.012729341133004925	Unknown
18	27469	0.018936122146991714	Unknown
19	27899	0.013645484949832778	Unknown
20	30133	0.011482736486486487	w/o MS2:3-(4-hydroxyphenyl)-7-methoxy-5-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one
21	30247	0.02091687631393514	Unknown
22	32066	0.010029154518950433	Unknown
23	32340	0.014864864864864864	Unknown
24	33225	0.012799999999999999	w/o MS2:LPC 18:2;PlaSMA ID-2753
25	35501	0.02102607808013488	Unknown
26	39186	0.010540868506493505	w/o MS2:Hoiamide C
