	Metabolite ID	Feature Importance	Metabolite name
0	957	0.018807833800872184	Unknown
1	8548	0.01827817155409768	Unknown (carbon number 8);PlaSMA ID-283
2	8821	0.010409692602645149	w/o MS2:Acetyl-?-methylcholine
3	9822	0.013311647052809315	w/o MS2:N-cyclooctylurea
4	11326	0.010218675936857758	w/o MS2:4-Pyridoxic acid
5	11896	0.01731988732384709	w/o MS2:Homoarginine
6	14569	0.010853101304934214	w/o MS2:Unknown (carbon number 8);PlaSMA ID-815
7	14838	0.034814770987134015	Cystathionine
8	18479	0.020011617334993962	w/o MS2:Prenyletin
9	19273	0.011363108146535825	Unknown
10	31176	0.011013354172342428	Unknown
