	mean	iqr	cilo	cihi	whishi	whislo	fliers	q1	med	q3
0	23.69131040091466	0.6990041732788512	23.58769580136353	23.808288848294673	25.0333805084229	22.3776435852051	[22.31221771 22.20221138 22.27326393]	23.360816001892047	23.6979923248291	24.0598201751709
1	20.979162312517268	0.8121023178100479	20.805438012895973	21.061722784223225	22.1711540222168	19.7338809967041	[]	20.633545875549352	20.9335803985596	21.4456481933594
2	20.57683634517169	0.928224563598647	20.49657237238785	20.789503219653152	22.2149848937988	19.05881690979	[18.58211327]	20.14266872406005	20.6430377960205	21.0708932876587
3	20.68578515871607	0.696997642517097	20.60674829935264	20.826708121545764	22.0609340667725	19.4608345031738	[19.37186813 11.62149811]	20.451189041137702	20.7167282104492	21.1481866836548
4	28.123330357098816	0.6587285995482972	27.96141389795471	28.169296703851888	29.2250480651855	27.0977954864502	[29.71411514 29.68424988 29.52314377]	27.8158826828003	28.0653553009033	28.474611282348597
5	21.276523609354044	0.6887826919556019	21.166165271638206	21.38353260433839	22.5650444030762	20.0698432922363	[19.90742493]	20.9451866149902	21.2748489379883	21.6339693069458
6	20.573630776068175	0.7528467178344478	20.58953395070047	20.82711872874293	21.9252319335938	19.5258502960205	[19.2094841  14.22008228 11.83620834]	20.38827514648435	20.7083263397217	21.141121864318798
7	20.844410944466635	0.764369964599549	20.81637245559497	21.057593761446032	22.1702785491943	19.3867568969727	[11.72611427]	20.51832389831545	20.9369831085205	21.282693862915
8	20.719787588023177	0.7120800018310476	20.699167481492484	20.923887022902118	22.0533504486084	19.5091609954834	[14.5294981]	20.423707008361802	20.8115272521973	21.13578701019285
9	26.255646599663628	0.5456581115722514	26.163320261311313	26.335520070719888	27.1313571929932	25.3545570373535	[]	25.9873104095459	26.2494201660156	26.53296852111815
10	24.863715817229917	0.8653068542480504	24.839429827906002	25.1125049865472	26.4078578948975	23.2269477844238	[22.33524895 22.45314026]	24.5039653778076	24.9759674072266	25.36927223205565
