	Metabolite ID	Feature Importance	Metabolite name
0	878	0.020000000000000004	Unknown
1	1084	0.04000000000000001	Unknown
2	2256	0.020000000000000004	Unknown
3	3129	0.020000000000000004	L-Threonic acid
4	4356	0.020000000000000004	w/o MS2:L-Phenylalanine
5	4775	0.020000000000000004	w/o MS2:1,4-Cyclohexanedicarboxylic acid
6	5105	0.020000000000000004	Unknown
7	6314	0.020000000000000004	31 - Gluconic acid
8	6650	0.020000000000000004	Unknown
9	7590	0.020000000000000004	Pantothenate
10	7591	0.020000000000000004	Pantothenate
11	9265	0.020000000000000004	w/o MS2:Per?uoro-3,5-dioxahexanoic acid
12	10087	0.020000000000000004	w/o MS2:Unknown (carbon number 9);PlaSMA ID-430
13	10933	0.020000000000000004	Unknown
14	10939	0.020000000000000004	Unknown
15	11191	0.020000000000000004	w/o MS2:NCGC00380665-01_C16H18O5_(8E)-11,13-Dihydroxy-4-methyl-4,5,6,7-tetrahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione
16	11852	0.020000000000000004	Unknown
17	12220	0.020000000000000004	w/o MS2:Unknown (carbon number 18);PlaSMA ID-661
18	12502	0.020000000000000004	Unknown
19	12600	0.020000000000000004	Unknown
20	12935	0.020000000000000004	w/o MS2:Difucol Hexamethyl Ether
21	12996	0.04000000000000001	w/o MS2:9-methoxy-4,4-dimethyl-13-phenyl-6,14-dioxatetracyclo[8.4.0.0?,?.0?,?]tetradeca-1,7,9-trien-11-one
22	13272	0.020000000000000004	w/o MS2:santin
23	13296	0.020000000000000004	Unknown
24	13467	0.020000000000000004	w/o MS2:Unknown (carbon number 16);PlaSMA ID-814
25	13487	0.04000000000000001	Unknown
26	14030	0.020000000000000004	w/o MS2:2-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxyethyl-trimethylazanium;thiocyanate
27	14693	0.020000000000000004	w/o MS2:Sparfloxacin
28	14697	0.020000000000000004	w/o MS2:CHENODIOL
29	14736	0.020000000000000004	Unknown
30	14793	0.020000000000000004	Unknown
31	14842	0.020000000000000004	Unknown
32	15251	0.020000000000000004	w/o MS2:Hexose + C13H19O (isomer of 1061);PlaSMA ID-1062
33	15296	0.020000000000000004	Unknown
34	15695	0.020000000000000004	Unknown
35	15845	0.060000000000000005	w/o MS2:(Z)-2,6-dimethyl-7-(4-methyl-5-oxooxolan-2-yl)-3-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]hept-5-enoic acid
36	16211	0.020000000000000004	Unknown
37	16252	0.04000000000000001	Unknown
38	16577	0.020000000000000004	Unknown
39	16660	0.020000000000000004	w/o MS2:Phosphatidylcholine lyso 14
40	17310	0.020000000000000004	Unknown
41	17460	0.020000000000000004	w/o MS2:LPC 18:3;PlaSMA ID-1545
42	18252	0.020000000000000004	Unknown
43	19113	0.020000000000000004	Unknown
